ID-LB|Leikaschlüssel|Name|Name2|Updatedatum|ID-OD|Bezeichnung OD|Links
B100019.LB.102541887|99148067017001|Energieeffizient Sanieren - Kredit Bewilligung KfW-Effizienzhaus (151)|Kredit für die energetische Sanierung von Wohngebäuden zum KfW-Effizienzhaus beantragen|20.01.2025 00:48|||
B100019.LB.102541888|99148067017002|Energieeffizient Sanieren - Kredit Bewilligung Einzelmaßnahmen (152)|Kredit für Einzelmaßnahmen der energetischen Sanierung von Wohngebäuden beantragen|20.01.2025 00:48|||
B100019.LB.102541892|99148068017001|Energieeffizient Bauen und Sanieren - Energieeffizienz in Unternehmen - Kredit Bewilligung Neubau (276)|Kredit mit Tilgungszuschuss für Neubau oder Kauf von energieeffizienten Gewerbegebäuden beantragen|20.01.2025 00:48|||
B100019.LB.102541893|99148068017002|Energieeffizient Bauen und Sanieren - Energieeffizienz in Unternehmen - Kredit Bewilligung Sanierung zum Effizienzgebäude (277)|Kredit mit Tilgungszuschuss für energetische Sanierung von Gewerbegebäuden beantragen|20.01.2025 00:48|||
B100019.LB.102541894|99148068017003|Energieeffizient Bauen und Sanieren - Energieeffizienz in Unternehmen - Kredit Bewilligung Sanierung mit Einzelmaßnahme (278)|Kredit mit Tilgungszuschuss für Maßnahmen der energetischen Sanierung von Gewerbegebäuden beantragen|20.01.2025 00:48|||
B100019.LB.102541898|99148069017001|IKU - Energieeffizient Bauen und Sanieren Bewilligung Sanierung (219)|Kredit mit Tilgungszuschuss für kommunale Unternehmen für energetische Sanierung von Nichtwohngebäuden der kommunalen und sozialen Infrastruktur beantragen|20.01.2025 00:48|||
B100019.LB.102541899|99148069017002|IKU - Energieeffizient Bauen und Sanieren Bewilligung Neubau (220)|Kredit mit Tilgungszuschuss für Neubau oder Kauf von energieeffizienten Nichtwohngebäuden der kommunalen und sozialen Infrastruktur beantragen|20.01.2025 00:48|||
B100019.LB.102548903|99148070017001|IKK - Energieeffizient Bauen und Sanieren Bewilligung Neubau (217)|Kredit mit Tilgungszuschuss für Neubau oder Kauf von energieeffizienten Nichtwohngebäuden der kommunalen und sozialen Infrastruktur beantragen|20.01.2025 00:48|||
B100019.LB.102548904|99148070017002|IKK - Energieeffizient Bauen und Sanieren Bewilligung Sanierung (218)|Kredit mit Tilgungszuschuss für kommunale Körperschaften für energetische Sanierung von Nichtwohngebäuden der kommunalen und sozialen Infrastruktur beantragen|20.01.2025 00:48|||
B100019.LB.102548908|99148071017001|Bundesförderung für Energieeffizienz in der Wirtschaft: Zuschuss Bewilligung Querschnittstechnologien Modul 1|Zuschuss für hocheffiziente Anlagen oder Aggregate beantragen|20.01.2025 00:48|||
B100019.LB.102548909|99148071017002|Bundesförderung für Energieeffizienz in der Wirtschaft: Zuschuss Bewilligung Prozesswärme aus erneuerbaren Energien Modul 2|Zuschuss für Maßnahmen zur Prozesswärmebereitstellung aus erneuerbaren Energien beantragen|20.01.2025 00:48|||
B100019.LB.102548910|99148071017003|Bundesförderung für Energieeffizienz in der Wirtschaft: Zuschuss Bewilligung Mess-, Steuer- und Regelungstechnik, Sensorik und Energiemanagement-Software Modul 3|Zuschuss für Mess-, Steuer- und Regelungstechnik, Sensorik und Energiemanagement-Software beantragen|20.01.2025 00:48|||
B100019.LB.102548911|99148071017004|Bundesförderung für Energieeffizienz in der Wirtschaft: Zuschuss Bewilligung Energiebezogene Optimierung von Anlagen und Prozessen Modul 4|Zuschuss für energetische Optimierung von Anlagen und Prozessen beantragen|20.01.2025 00:48|||
B100019.LB.102548915|99148072017001|Bundesförderung für Energieeffizienz in der Wirtschaft: Kredit Bewilligung Querschnittstechnologien Modul 1|Kredit mit Tilgungszuschuss für hocheffiziente Anlagen oder Aggregate beantragen|20.01.2025 00:48|||
B100019.LB.102548916|99148072017002|Bundesförderung für Energieeffizienz in der Wirtschaft: Kredit Bewilligung Prozesswärme aus erneuerbaren Energien Modul 2|Kredit mit Tilgungszuschuss für Maßnahmen zur Prozesswärmebereitstellung aus erneuerbaren Energien beantragen|20.01.2025 00:48|||
B100019.LB.102548917|99148072017003|Bundesförderung für Energieeffizienz in der Wirtschaft: Kredit Bewilligung Mess-, Steuer- und Regelungstechnik, Sensorik und Energiemanagement-Software Modul 3|Kredit mit Tilgungszuschuss für Mess-, Steuer- und Regelungstechnik, Sensorik und Energiemanagement-Software beantragen|20.01.2025 00:48|||
B100019.LB.102548918|99148072017004|Bundesförderung für Energieeffizienz in der Wirtschaft: Kredit Bewilligung Energiebezogene Optimierung von Anlagen und Prozessen Modul 4|Kredit mit Tilgungszuschuss für energetische Optimierung von Anlagen und Prozessen beantragen|20.01.2025 00:48|||
B100019.LB.102548944|99102064058000|Elektronische Anfragen zugelassener Nutzer zur Ermittlung von IdNr oder Kirchensteuerabzugsmerkmal (KiStAM) Durchführung|Steuerliche Identifikationsnummer (IdNr) oder Kirchensteuerabzugsmerkmal (KiStAM) anfragen|20.01.2025 00:48|B100019.OD.103831344|BZStOnline-Portal (BOP)|https://www.elster.de/bportal/start
B100019.LB.102548948|99102066099000|vorgesehen zum Löschen - Entlastung vom Steuerabzug für Rechteüberlassungen nach § 50 a Abs. 1 Nr. 3 EStG nach dem Komtrollmeldeverfahren (KMV) Ermächtigung|Vereinfachtes Verfahren zur Ermäßigung oder Freistellung vom Steuerabzug für Rechteüberlassungen nach § 50a Absatz 1 Nummer 3 EStG (Kontrollmeldeverfahren § 50d Absatz 5 EStG)|20.01.2025 00:48|||
B100019.LB.102548950|99102067029000|Erklärung des Verzichts von Anbietern auf die Zertifizierung von Altersvorsorge- und Basisrentenverträgen Prüfung|Erklärung des Verzichts auf die Zertifizierung von Altersvorsorge- und Basisrentenverträgen (""Riester"" bzw. ""Rürup"") erstellen|20.01.2025 00:48|||
B100019.LB.102548952|99102068261000|Elektronische Meldung ausländischer Kapital- oder Rentenversicherungsverträge gem § 45d Abs. 3 EStG Entgegennahme|Ausländische Kapital- oder Rentenversicherungsverträge elektronisch melden|20.01.2025 00:48|B100019.OD.103831319|BZStOnline-Portal (BOP)|https://www.elster.de/bportal/start
B100019.LB.102548954|99102069001000|Zertifizierung von Altersvorsorge- und Basisrentenverträgen (""Riester""/ ""Rürup"") Erteilung|Zertifizierung von Altersvorsorge- und Basisrentenverträgen beantragen (""Riester"" bzw. ""Rürup"")|20.01.2025 00:48|||
B100019.LB.102548956|99102070001000|Sperrvermerken nach § 51a EStG Erteilung|Sperrvermerk zur Religionszugehörigkeit einlegen|20.01.2025 00:48|B100019.OD.103831344|BZStOnline-Portal (BOP)|https://www.elster.de/bportal/start
B100019.LB.102548958|99102071058000|Steuerabzugsverfahren nach § 50 a Durchführung|Einkommensteuer für im Ausland lebende Erbringer von Leistungen einbehalten, anmelden und zahlen|20.01.2025 00:48|||
B100019.LB.102548960|99102072058000|Veranlagungsverfahren nach § 50 Abs. 2 S. 2 Nr. 5 EStG Durchführung|Veranlagung für beschränkt Steuerpflichtige beantragen|20.01.2025 00:48|||
B100019.LB.102548962|99102073001000|Entlastung vom deutschen Steuerabzug gemäß § 50c EStG Erteilung|Entlastung vom deutschen Steuerabzug gemäß § 50c EStG erhalten|20.01.2025 00:48|B100019.OD.107069542|Entlastung vom deutschen Steuerabzug nach § 50a EStG gemäß § 50c EStG online beantragen|https://www.elster.de/bportal/formulare-leistungen/alleformulare/stabentlastung
B100019.LB.102548963|99102049101000|Wirtschafts-Identifikationsnummer (W-IdNr) Mitteilung|Wirtschafts-Identifikationsnummer (W-IdNr.) beantragen|20.01.2025 00:48|||
B100019.LB.102548965|99102074058000|Erstattung von abgeführter Kapitalertragsteuer an Steuer-Ausländer Durchführung|Erstattung von abgeführter Kapitalertragsteuer an im Ausland ansässige Personen beantragen|20.01.2025 00:48|||
B100019.LB.102548967|99102075012000|Befreiungsbescheinigung nach § 9 InvStG Ausstellung|Befreiungsbescheinigung für steuerbegünstigte ausländische Anleger von Investmentfonds beantragen|20.01.2025 00:48|||
B100019.LB.102548969|99102076058000|Entlastung von der deutschen Kapitalertragsteuer durch Erteilung von Freistellungsbescheinigungen an ausländische Gesellschaften Durchführung|(Teil-)Freistellung von der deutschen Kapitalertragsteuer für ausländische Kapitalgesellschaften beantragen|20.01.2025 00:48|||
B100019.LB.102548971|99102077001000|Statusbescheinigung nach § 7 Abs. 3 InvStG Erteilung|Statusbescheinigung für eine Ermäßigung der Steuer für Einkünfte ausländischer Investmentfonds beantragen|20.01.2025 00:48|||
B100019.LB.102548973|99102078129000|Gesonderte und einheitliche Feststellung von Besteuerungsgrundlagen nach § 51 InvStG Erklärung|Gesonderte und einheitliche Feststellung von Besteuerungsgrundlagen für ausländische Spezial-Investmentfonds abgeben|20.01.2025 00:48|||
