Name,Description,ID-LB,ARS,Eligibility Requirements,Legal Basis
Ausbildungsgeld beantragen,"Als Mensch mit Behinderungen können Sie zur Sicherung des Lebensunterhaltes Ausbildungsgeld erhalten, wenn Sie an bestimmten Bildungsmaßnahmen teilnehmen.",B100019.LB.574711,000000000000,"Sie haben eine Behinderung und Ihr zuständiger Rehabilitationsträger ist die Bundesagentur für Arbeit. Sie werden an einer der folgenden Maßnahmen teilnehmen:  (erste) berufliche Ausbildung, berufsvorbereitende Bildungsmaßnahme einschließlich einer Grundausbildung, individuelle betriebliche Qualifizierung im Rahmen der Unterstützten Beschäftigung, Eingangsverfahren oder Berufsbildungsbereich in einer Werkstatt für behinderte Menschen oder bei einem anderen Leistungsanbieter.   Sie haben keinen Anspruch auf Übergangsgeld.",§§ 122 bis 126 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/index.html
Arbeitslosenbeihilfe für frühere Soldaten auf Zeit beantragen,"Wenn Sie als früherer Soldat beziehungsweise frühere Soldatin auf Zeit nach Beendigung Ihres Wehrdienstes arbeitslos werden, können Sie Arbeitslosenbeihilfe beantragen.",B100019.LB.103356019,000000000000,"Sie haben Anspruch auf Arbeitslosenbeihilfe, wenn Sie mindestens 2 Jahre in einem Dienstverhältnis gestanden haben.  Weitere Voraussetzungen sind, dass  Sie arbeitslos sind und sich mit einem elektronischen Identitätsnachweis elektronisch im Fachportal der Bundesagentur für Arbeit oder persönlich bei der zuständigen Agentur für Arbeit arbeitslos gemeldet haben.   Arbeitslosigkeit liegt vor, wenn Sie nicht in einem Beschäftigungsverhältnis stehen oder nur eine Erwerbstätigkeit in einem Umfang von weniger als 15 Stunden wöchentlich ausüben. Darüber hinaus müssen Sie sich bemühen, die eigene Beschäftigungslosigkeit zu beenden und den Vermittlungsbemühungen der Agentur für Arbeit zur Verfügung stehen, das bedeutet in der Lage und bereit sein, eine versicherungspflichtige Beschäftigung unter arbeitsmarktüblichen Bedingungen aufzunehmen.  Die Arbeitslosmeldung muss elektronisch im Fachportal der Bundesagentur für Arbeit oder persönlich bei der zuständigen Agentur für Arbeit erfolgen. Mit der Arbeitslosmeldung gilt das Arbeitslosengeld als beantragt.",§ 86a Soldatenversorgungsgesetz (SVG)<>https://www.gesetze-im-internet.de/svg/__86a.html || § 88a Soldatenversorgungsgesetz (SVG)<>https://www.gesetze-im-internet.de/svg/__88a.html || §§ 136 bis 161 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__136.html
Gleichstellung behinderter Menschen mit schwerbehinderten Menschen bewilligen,Als Mensch mit Behinderungen können Sie unter bestimmten Voraussetzungen schwerbehinderten Menschen gleichgestellt werden.,B100019.LB.102821007,000000000000,"Sie sind ein Mensch mit Behinderungen und haben einen Grad der Behinderung von weniger als 50, aber wenigstens 30 Sie wohnen rechtmäßig in Deutschland oder Sie halten sich rechtmäßig in Deutschland auf oder Sie sind rechtmäßig auf einem Arbeitsplatz in Deutschland beschäftigt. Sie können wegen Ihrer Behinderung einen geeigneten Arbeitsplatz nicht finden oder Ihr Arbeitsplatz ist wegen Ihrer Behinderung gefährdet. Anhaltspunkte für eine behinderungsbedingte Gefährdung des Arbeitsplatzes können zum Beispiel sein:  Wiederholte/häufige behinderungsbedingte Fehlzeiten Dauernde verminderte Belastbarkeit Behinderungsbedingte eingeschränkte Mobilität Dauerhaft notwendige Unterstützung durch Kollegen Erkennbare Reaktionen des Arbeitgebers auf die behinderungsbedingten Einschränkungen (zum Beispiel Abmahnungen).   Für behinderte Jugendliche und junge Erwachsene gibt es während der Zeit ihrer Berufsausbildung oder einer beruflichen Orientierung eine Sonderregelung: Sie müssen Ihre Gleichstellung nicht beantragen, denn sie werden bei Vorliegen der Voraussetzungen kraft Gesetz automatisch gleichgestellt. Diese Gleichstellung gilt aber nur für Leistungen des Integrationsamtes im Rahmen der beruflichen Orientierung und der Berufsausbildung (Prämien und Zuschüsse zu den Kosten der Berufsausbildung).","§ 2 Absatz 3 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__2.html || § 151 Absatz 2, 3 und 4 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__151.html"
Arbeitslosengeld beantragen,"Wenn Sie Ihre Arbeit oder Ihren Ausbildungsplatz verlieren, können Sie Arbeitslosengeld beantragen, damit Sie finanziell abgesichert sind.",B100019.LB.576842,000000000000,"Sie haben Anspruch auf Arbeitslosengeld, wenn   Sie arbeitslos sind, das heißt,   Sie stehen nicht in einem Beschäftigungsverhältnis oder Sie üben nur eine Erwerbstätigkeit in einem Umfang von weniger als 15 Stunden wöchentlich aus und Sie stehen den Vermittlungsbemühungen der Agentur für Arbeit zur Verfügung. Sie sind also in der Lage und bereit, eine versicherungspflichtige Beschäftigung unter arbeitsmarktüblichen Bedingungen aufzunehmen;   Sie sich  elektronisch mit einem elektronischen Identitätsnachweis, zum Beispiel Personalausweis mit Online-Ausweisfunktion, im eServices-Portal der Bundesagentur für Arbeit oder persönlich bei der zuständigen Agentur für Arbeit arbeitslos gemeldet haben. Mit Ihrer persönlichen Arbeitslosmeldung gilt das Arbeitslosengeld als beantragt. Zusätzlich muss noch ein Antragsformular ausgefüllt werden;   Sie innerhalb der letzten 30 Monate vor der Arbeitslosmeldung (der sogenannten Rahmenfrist) mindestens 12 Monate versicherungspflichtig waren.  Es werden auch Zeiten berücksichtigt, in denen Sie wegen des Bezuges von Entgeltersatzleistungen, wie zum Beispiel Krankengeld, oder - unter weiteren Voraussetzungen - zum Beispiel wegen der Pflege eines Angehörigen oder der Erziehung eines Kindes versicherungspflichtig zur Arbeitsförderung waren.  Als Versicherungszeit können auch Zeiten berücksichtigt werden, in denen ein Antragspflichtversicherungsverhältnis (sogenannte freiwillige Weiterversicherung) vorlag, zum Beispiel  weil Sie eine selbständige Tätigkeit aufgenommen haben.  In Sonderfällen werden auch Zeiten berücksichtigt, in denen Sie Entwicklungsdienst nach dem Entwicklungshelfergesetz geleistet haben oder Sie auf der Grundlage eines Sekundierungsvertrages im Ausland tätig waren.",§§ 136 bis 164 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3 || § 323 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__323.html || § 327 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__327.html || § 337 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__337.html
Zuschüsse für die Ausbildung und Beschäftigung von Menschen mit Behinderungen bei der Agentur für Arbeit beantragen,"Wenn Sie Menschen mit Behinderungen sowie schwerbehinderte Menschen betrieblich aus- oder weiterbilden, können Sie einen Zuschuss zur Ausbildungsvergütung erhalten. Wenn Sie schwerbehinderte Menschen im Anschluss fest einstellen, können Sie einen Lohnzuschuss erhalten.",B100019.LB.102711789,000000000000,"Voraussetzung für den Zuschuss zur Ausbildungsvergütung ist,  dass eine Aus oder Weiterbildung ohne diese Förderung nicht zu erreichen ist, dass eine Eignung für den angestrebten Ausbildungs beziehungsweise Weiterbildungsberuf vorliegt, dass ein unterzeichneter Aus oder Weiterbildungsvertrag mit dem Betrieb vorliegt, dass Ausbildungsvergütung, Lohn oder Gehalt gezahlt wird, bei Menschen mit Behinderungen die Bundesagentur für Arbeit der zuständige Rehabilitationsträger ist.  Voraussetzung für den Eingliederungszuschuss ist,  dass ein Arbeitsvertrag im Anschluss an eine erfolgreich abgeschlossene betriebliche Aus oder Weiterbildung vorliegt und dass diese Aus- oder Weiterbildung mit einem Ausbildungszuschuss für schwerbehinderte Menschen gefördert wurde.",§ 73 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__73.html || § 16 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16.html
Bildungsgutschein beantragen,"Wenn Sie arbeitslos sind und sich weiterbilden möchten, können Sie unter bestimmten Voraussetzungen einen Bildungsgutschein bekommen. Mit einem Bildungsgutschein kann die Bundesagentur für Arbeit die Kosten Ihrer beruflichen Weiterbildung übernehmen. Bevor Sie einen Bildungsgutschein bekommen, prüft die Arbeitsagentur mit Ihnen gemeinsam, ob eine Weiterbildung für Sie notwendig ist. Einen Rechtsanspruch auf einen Bildungsgutschein haben Sie nicht. Sie können den Bildungsgutschein bei einer Bildungseinrichtung Ihrer Wahl einlösen, wenn sie für die Weiterbildungsförderung zugelassen ist. Auch die Weiterbildungsmaßnahme selbst muss zugelassen sein und zum Bildungsgutschein passen. Der Bildungsgutschein legt unter anderem fest:  das Bildungsziel, die Dauer bis zum Erreichen des Bildungsziels, die Inhalte der Qualifizierung, den regionalen Geltungsbereich und die Gültigkeitsdauer, in der der Bildungsgutschein eingelöst werden und die Teilnahme begonnen haben muss.  Der Bildungsgutschein gilt grundsätzlich an Ihrem Wohnort und an Orten, die Sie täglich von zu Hause aus erreichen können. Die Agentur für Arbeit kann auch die nötigen Fahrkosten übernehmen. Wenn Ihre Arbeitslosigkeit auch ohne Weiterbildung beendet werden kann oder es andere, besser geeignete Instrumente gibt, wird Ihnen Ihre Arbeitsagentur andere Möglichkeiten vorschlagen. Wenn Ihnen die Agentur für Arbeit während des Kurses Vermitt-lungsangebote macht, müssen Sie diese wahrnehmen, auch wenn Sie eine Weiterbildung absolvieren. Auch wenn Sie Anspruch auf Arbeitslosengeld II haben, können Sie auch nach einem Bildungsgutschein fragen. Ansprechpartner ist dann das Jobcenter. Ein Rechtsanspruch darauf besteht jedoch nicht.",B100019.LB.575543,000000000000,"Sie müssen in der Regel mindestens drei Jahre berufstätig gewesen sein und an einer Beratung durch die Agentur für Arbeit teilgenommen haben. Ein Bildungsgutschein kann Ihnen dann ausgestellt werden, wenn  die Weiterbildung notwendig ist, um Ihre Arbeitslosigkeit zu beenden oder eine drohende Arbeitslosigkeit abzuwenden, die Weiterbildung im Gespräch als die ""am besten geeignete Maßnahme"" festgelegt wurde, die Weiterbildung mit großer Wahrscheinlichkeit Ihre Arbeitslosigkeit vermeidet oder beendet, wenn Sie in ""erheblichem Umfang"" selbst versucht haben, Ihre Arbeitslosigkeit zu beenden, die Bildungsmaßnahme und der Bildungsträger zugelassen sind und Sie mit dem von Ihnen gewählten Kurs das Bildungsziel erreichen können, das Sie mit Ihrer Arbeitsagentur vorher festgelegt haben.",§ 81 Absatz 4 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__81.html
"Förderung aus dem ESF Plus-Programm ""EhAP Plus - Eingliederung hilft gegen Ausgrenzung der am stärksten benachteiligten Personen"" beantragen","Das ESF Plus-Bundesprogramm fördert Vorhaben, die die Lebenssituation und soziale Eingliederung von besonders benachteiligten Personen verbessern.",B100019.LB.103963660,000000000000,"Sie können einen Antrag stellen  als juristische Person des privaten und öffentlichen Rechts, als rechtsfähige Personengesellschaft, beispielsweise als  Kommune, Träger der freien Wohlfahrtspflege, sonstiger gemeinnütziger Träger, Forschungsinstitut, Verband und Unternehmen.    Natürliche Personen sind von der Förderung ausgeschlossen. Beachten Sie folgende Voraussetzungen:  Bei der Planung müssen Sie die bereichsübergreifenden Grundsätze zur Gleichstellung der Geschlechter, Antidiskriminierung sowie die ökologische Dimension der Nachhaltigkeit beachten. Sie können die Zielgruppen im EhAP Plus in den Einzelzielen 1 und 2 auch über arbeitsmarktbezogene Inhalte informieren und beraten. Dabei werden keine eigenen Maßnahmen oder direkte Vermittlungen in Arbeit oder Ausbildung sowie zu konkreten Förderleistungen gemäß Sozialgesetzbuch (SGB) II beziehungsweise III gefördert. Eine direkte Heranführung der Zielgruppen an den Arbeitsmarkt ist nicht möglich.","Artikel 4 Absatz 1 Buchstabe i) Verordnung (EU) 2021/1057<>https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R1057 || Verordnung (EU) 2021/1060<>https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R1060 || § 23 Bundeshaushaltsordnung (BHO)<>https://www.gesetze-im-internet.de/bho/__23.html || § 44 Bundeshaushaltsordnung (BHO) Absatz 1<>https://www.gesetze-im-internet.de/bho/__44.html || in Verbindung mit Allgemeine Verwaltungsvorschriften (VV) Nummer 4 zu § 44 Bundeshaushaltsordnung (BHO)<>https://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_14032001_DokNr20110981762.htm || Förderrichtlinie zum ESF-Programm ""Eingliederung hilft gegen Ausgrenzung der am stärksten benachteiligten Personen"" vom 20.04.2022 (BAnz AT 25.04.2022 B3)<>https://www.bundesanzeiger.de/pub/de/amtlicher-teil?9=null&year=2022&edition=BAnz+AT+25.04.2022"
Einstiegsgeld beantragen,"Wenn Sie Arbeitslosengeld (ALG) II bekommen und Sie sich selbstständig machen wollen oder eine sozialversicherungspflichtige Tätigkeit aufnehmen, können Sie unter bestimmten Voraussetzungen Einstiegsgeld erhalten.",B100019.LB.102713860,000000000000,"Sie erhalten vor Aufnahme Ihrer neuen Tätigkeit Arbeitslosengeld (ALG) II. Arbeitslosigkeit ist dabei keine Voraussetzung. Sie müssen den Antrag vor der tatsächlichen Aufnahme der Erwerbstätigkeit bei Ihrem Jobcenter stellen. Ihre neue Selbstständigkeit oder Ihre neue Beschäftigung ist geeignet, dass Sie perspektivisch Ihre Hilfebedürftigkeit überwinden. Das Einstiegsgeld ist für Ihre Eingliederung in den allgemeinen Arbeitsmarkt erforderlich. Ihre Erwerbstätigkeit umfasst mindestens 15 Stunden pro Woche.  Zusätzliche Voraussetzungen bei Selbständigkeit/ Existenzgründung:  Positive Bewertung des Jobcenters über  Ihre persönliche Eignung, die wirtschaftliche Tragfähigkeit Ihrer selbständigen Tätigkeit",§16b Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_2/__16b.html || §16 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_2/__16.html
Beihilfe für Hinterbliebene in der landwirtschaftlichen Unfallversicherung erhalten,"Als Hinterbliebene oder Hinterbliebener können Sie von der landwirtschaftlichen Unfallversicherung Beihilfe erhalten. Das ist möglich, wenn Ihre Angehörige oder Ihr Angehöriger nicht an den Folgen eines Versicherungsfalls verstorben ist.",B100019.LB.102780584,000000000000,"Anspruch auf Hinterbliebenenbeihilfe besteht, wenn:  eine versicherte Person mit Verletztenrentenbezug nach einer Minderung der Erwerbsfähigkeit (MdE) in Höhe von mindestens 50 Prozent zum Todeszeitpunkt bezogen hat und der Tod der versicherten Person nicht Folge eines Arbeitsunfalls oder einer Berufskrankheit ist und somit kein Anspruch auf Hinterbliebenenrente aus der gesetzlichen Unfallversicherung besteht.  zusätzliche Voraussetzungen für Witwen, Witwer und hinterbliebene, eingetragene Lebenspartnerinnen und -partnern:  Die Witwer beziehungsweise Witweneigenschaft liegt vor. Es war keine Versorgungsehe.  zusätzliche Voraussetzungen für Vollwaisen:   Es besteht ein angenommener Waisenrentenanspruch (das heißt, die Vollwaise hätte bei Tod der versicherten Person infolge eines Versicherungsfalls in der gesetzlichen Unfallversicherung Anspruch auf Waisenrente). Die Vollwaise hat zum Todeszeitpunkt mit der verstorbenen Person zusammengelebt. Die Vollwaise wurde überwiegend von der verstorbenen Person unterhalten.  Voraussetzungen für laufende Beihilfe: Ihre Angehörige oder Ihr Angehöriger bezog zum Todeszeitpunkt eine oder mehrere Renten aus der landwirtschaftlichen Unfallversicherung, die  gegebenenfalls zusammen mit anderen Renten der gesetzlichen Unfallversicherung eine MdE in Höhe von 80 Prozent erreichen, mindestens 10 Jahre bezogen wurde(n) und hierdurch ist eine mindestens 10-prozentige Einbuße in den Hinterbliebenenleistungen der gesetzlichen Rentenversicherung nachweisbar.",§ 71 Siebtes Buch Sozialgesetzbuch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__71.html
Grundausbildung für Menschen mit hochgradigen Seh- oder Hörbehinderungen beantragen,"Wenn bei Ihnen eine hochgradige Seh- oder Hörbehinderung eingetreten ist, müssen Sie erst lernen, mit der neuen Situation umzugehen. Mit einer Grundausbildung können Sie spezielle Fertigkeiten erlernen, die Sie im Beruf und im Alltag brauchen.",B100019.LB.102717659,000000000000,"Sie haben eine hochgradige Seh oder Hörbehinderung oder Ihnen droht eine solche Behinderung. Ihr zuständiger Rehabilitationsträger ist die Bundesagentur für Arbeit. Ihre Aussichten am Arbeitsleben teilzuhaben oder wieder teilzuhaben sind wegen Art und Schwere Ihrer Behinderung nicht nur vorübergehend wesentlich gemindert und Sie brauchen deshalb Hilfen zur Teilhabe am Arbeitsleben. Sie sind bereit, sich beruflich bilden oder auf andere Weise beruflich eingliedern zu lassen.",§ 112 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__112.html || § 117 Absatz 1 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__117.html
"Zuschuss der Agentur für Arbeit zur Praktikumsvergütung für junge Menschen beantragen, die im Rahmen einer Einstiegsqualifizierung auf eine betriebliche Berufsausbildung vorbereitet werden sollen","Wenn Sie junge Menschen über ein bezahltes Praktikum an eine Berufsausbildung in Ihrem Betrieb heranführen möchten, können Sie einen Zuschuss zur Praktikumsvergütung beantragen.",B100019.LB.102703395,000000000000,"Das Praktikum muss:  zwischen 6 und 12 Monate dauern. vergütet und sozialversichert sein.   Die Praktikantin oder der Praktikant muss zum förderfähigen Personenkreis gehören. Dies muss durch die Agentur für Arbeit geprüft werden. Die Praktikantin oder der Praktikant darf vorher noch nicht in Ihrem Unternehmen beschäftigt gewesen sein. Die Einstiegsqualifizierung darf nicht im Betrieb der Ehegatten, Lebenspartnerin oder Lebenspartner oder Eltern stattfinden.  Bei Berufsschulpflicht muss die Praktikantin oder der Praktikant am Berufsschulunterricht teilnehmen und in der entsprechenden Fachklasse angemeldet sein.",§ 54a Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__54a.html
Krankengeld beantragen für Begleitperson bei stationärer Behandlung Menschen mit Behinderung,"Als Begleitperson eines stationär behandelten Menschen mit Behinderung können Sie Krankengeld erhalten. Das Krankengeld ersetzt Ihnen den Verdienstausfall, der infolge der Begleitung entsteht.",B100019.LB.103817036,000000000000,"Sie und die von Ihnen begleitete Person mit Behinderung sind gesetzlich krankenversichert. Die zu begleitende Person wird stationär im Krankenhaus behandelt. Die stationäre Mitaufnahme als Begleitperson ist medizinisch notwendig. Gleichgestellt ist eine ganztägige Begleitung, das heißt, die Zeit Ihrer Anwesenheit im Krankenhaus beträgt zusammen mit Ihrer Anreise- und Abreisezeit mindestens 8 Stunden. Sie haben einen Verdienstausfall. Sie sind eine nahe angehörige Person oder Teil des engsten Umfelds. Die zu begleitende Person bezieht Leistungen der Eingliederungshilfe. Sie erhalten kein Krankengeld von der Krankenkasse, wenn Sie den Menschen mit Behinderung zum Beispiel als persönliche Assistenz begleiten und dafür ein Entgelt erhalten. Begleiten Sie den Menschen mit Behinderung im Rahmen der Eingliederungshilfe, werden die Kosten von den Trägern der Eingliederungshilfe übernommen.",§ 44b Sozialgesetzbuch Fünftes Buch (SGB V)<>https://www.gesetze-im-internet.de/sgb_5/__44b.html || § 8 Zweites Gesetz über die Krankenversicherung der Landwirte (KVLG 1989)<>https://www.gesetze-im-internet.de/kvlg_1989/__8.html
Leistungen zur sozialen Teilhabe in der gesetzlichen Unfallversicherung,"Wenn infolge eines Arbeits- oder Wegeunfalles oder einer anerkannten Berufskrankheit Ihre gleichberechtigte soziale Teilhabe gefährdet ist, können Sie Leistungen zur sozialen Teilhabe erhalten.",B100019.LB.582379,000000000000,"Durch einen Arbeits- oder Wegeunfall oder eine anerkannte Berufskrankheit ist Ihre gleichberechtigte soziale Teilhabe eingeschränkt. Die Voraussetzungen für Leistungen zur sozialen Teilhabe sind jedoch abhängig von der jeweiligen Leistungsart. Sollten Sie hier spezielle Fragen zu einzelnen Leistungen haben, kontaktieren Sie bitte Ihre zuständige Berufsgenossenschaft oder Unfallkasse.",§ 39 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__39.html || § 28 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__28.html || § 75 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__75.html || § 76 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__76.html
Waisenrente von der gesetzlichen Unfallversicherung erhalten,"Wenn Ihr Elternteil infolge eines Versicherungsfalls gestorben ist, erhalten Sie unter bestimmten Voraussetzungen eine Waisenrente von der gesetzlichen Unfallversicherung.",B100019.LB.582435,000000000000,"Sie erhalten die Waisenrente, wenn die Person infolge eines Versicherungsfalls gestorben ist. Dazu gehören Arbeitsunfälle, Unfälle auf dem Arbeitsweg und Berufskrankheiten. Sie erhalten die Waisenrente als  leibliches Kind, Stiefkind oder Pflegekind, wenn Sie im Haushalt der verstorbenen Person gelebt haben und dort versorgt und betreut wurden und als Enkel oder Geschwisterteil, wenn Sie im Haushalt der verstorbenen Person gelebt haben und dort versorgt und betreut wurden. Sie können zudem die Waisenrente erhalten, wenn die verstorbene Person überwiegend für Ihren Lebensunterhalt aufgekommen ist.  Unter diesen Voraussetzungen erhalten Sie die Waisenrente auch dann, wenn Sie 18 bis unter 27 Jahre alt sind:  Sie befinden sich in Schul- oder Berufsausbildung oder Sie können wegen einer körperlichen, geistigen oder seelischen Behinderung nicht selbst für Ihren Unterhalt aufkommen oder Sie befinden sich in einer Übergangszeit von höchstens 4 Kalendermonaten  zwischen einem Ausbildungsabschnitt und dem nächsten Ausbildungsabschnitt oder der Ableistung des gesetzlichen Wehr- oder Zivildienstes oder der Ableistung eines freiwilligen Dienstes.",§ 67 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__67.html || § 68 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_8/__68.html || § 70 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_8/__70.html
Zuschüsse für die Ausbildung und Beschäftigung von Menschen mit Behinderungen beim Jobcenter beantragen,"Wenn Sie Menschen mit Behinderungen sowie schwerbehinderte Menschen betrieblich aus- oder weiterbilden, können Sie einen Zuschuss zur Ausbildungsvergütung erhalten. Wenn Sie schwerbehinderte Menschen im Anschluss fest einstellen, können Sie einen Lohnzuschuss erhalten.",B100019.LB.102711788,000000000000,"Voraussetzung für den Zuschuss zur Ausbildungsvergütung ist,  dass eine Aus oder Weiterbildung ohne diese Förderung nicht zu erreichen ist, dass eine Eignung für den angestrebten Ausbildungs beziehungsweise Weiterbildungsberuf vorliegt, dass ein unterzeichneter Aus oder Weiterbildungsvertrag mit dem Betrieb vorliegt, dass Ausbildungsvergütung, Lohn oder Gehalt gezahlt wird, bei Menschen mit Behinderungen die Bundesagentur für Arbeit der zuständige Rehabilitationsträger ist.  Voraussetzung für den Eingliederungszuschuss ist,  dass ein Arbeitsvertrag im Anschluss an eine erfolgreich abgeschlossene betriebliche Aus oder Weiterbildung vorliegt und dass diese Aus- oder Weiterbildung mit einem Ausbildungszuschuss für schwerbehinderte Menschen gefördert wurde.",§ 73 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__73.html || § 16 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16.html
Rentenabfindung für hinterbliebene Ehepartnerinnen oder Ehepartner aus der gesetzlichen Unfallversicherung bei Wiederheirat beantragen,Als hinterbliebene Person erhalten Sie bei einer erneuten Heirat oder Neubegründung einer Lebenspartnerschaft anstelle der Rente eine Abfindung aus der gesetzlichen Unfallversicherung.,B100019.LB.102799525,000000000000,Sie müssen einen Anspruch auf Hinterbliebenenleistung aus der gesetzlichen Unfallversicherung haben. Sie haben wiedergeheiratet oder eine neue Lebenspartnerschaft nach dem Lebenspartnerschaftsgesetz begründet.,§ 80 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__80.html
Darlehen oder Bedarfszuschuss für die Ausbildung beantragen,"Wenn Sie sich während Ihrer Ausbildung in einer finanziellen Notsituation befinden, können Sie unter bestimmten Voraussetzungen ein Darlehen oder einen Zuschuss vom Jobcenter erhalten.",B100019.LB.102716303,000000000000,"Wenn Sie sich zum Beginn oder während Ihrer Ausbildung in einer finanziellen Notsituation befinden, können Sie Leistungen für Auszubildende beantragen. Dabei gilt: Allgemein  Sie haben als Auszubildender oder Auszubildende keinen Anspruch auf Sozialleistungen wie Bürgergeld und Sie befinden sich in einer finanziellen Notsituation und Sie können für Ihren Lebensunterhalt nicht selbst aufkommen.  In der Regel können von den genannten Leistungen profitieren:    Studierende, die nicht bei ihren Eltern wohnen Auszubildende, die die gesetzliche BAföG-Altersgrenze erreicht haben Auszubildende in einer beruflichen Ausbildung oder einer berufsvorbereitenden Bildungsmaßnahme, die mit Vollverpflegung untergebracht sind  in einem Internat oder in einem Wohnheim.     Auszubildende mit Behinderungen, die einen Anspruch auf Ausbildungsgeld beispielsweise während einer beruflichen Ausbildung, einer berufsvorbereitenden Bildungsmaßnahme oder einer Grundausbildung haben und die untergebracht sind  in einem Internat, in einem Wohnheim oder in einer besonderen Einrichtung für Menschen mit Behinderungen,    wenn die Kosten für die Unterbringung und Verpflegung von der Agentur für Arbeit oder einem anderen Leistungsträger übernommen werden. Darlehen allgemein  Ohne ein Darlehen würde der Start Ihrer Ausbildung oder dessen erfolgreicher Abschluss aus finanziellen Gründen gefährdet.  Härtefalldarlehen  Sie sind nicht in der Lage, durch einen Nebenjob zuzuverdienen, zum Beispiel weil  Sie alleinerziehend sind oder Sie eine Behinderung haben oder Sie einen Angehörigen pflegen oder es Ihr Aufenthaltstitel in Deutschland nicht erlaubt.   Sie können als Härtefall eingestuft werden, wenn außergewöhnliche, schwerwiegende Umstände Ihre Ausbildung gefährden und/oder Sie in eine existenzbedrohende Notsituation geraten.  Härtefallzuschuss  Sie sind mindestens 45 Jahre alt und können daher altersbedingt kein BAföG mehr erhalten und Sie befinden sich in einer schulischen Ausbildung, ohne deren Abschluss Ihre berufliche Eingliederung schwer gefährdet ist, studieren aber nicht. Sie können als Härtefall eingestuft werden, wenn außergewöhnliche, schwerwiegende Umstände Ihre Ausbildung gefährden und/oder Sie in eine existenzbedrohende Notsituation geraten.","§ 27 Zweites Buch Sozialgesetzbuch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__27.html || § 7 Absatz 5 und 6 Zweites Buch Sozialgesetzbuch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__7.html || § 21 Absatz 2, 3, 5 und 6 Zweites Buch Sozialgesetzbuch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__21.html || § 24 Absatz 3 Nummer 2 und Absatz 4 Zweites Buch Sozialgesetzbuch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__24.html"
