Name,ID-LB,ARS,Eligibility Requirements,Legal Basis
Grundsicherung im Alter und bei Erwerbsminderung (Sozialhilfe),L100001.LB.8967187,060000000000,"Ein Anspruch auf Leistungen zur Grundsicherung besteht, wenn die oder der Betroffene seinen gewöhnlichen Aufenthalt in der Bundesrepublik Deutschland hat und


		die Altersgrenze erreicht hat (je nach Einzelfall 65 Jahre und älter) oder

		nach Vollendung des 18. Lebensjahres aus gesundheitlichen Gründen auf absehbare Zeit nicht in der Lage ist, wenigstens 3 Stunden täglich einer Erwerbstätigkeit nachzugehen.",§§ 41 ff. Sozialgesetzbuch Zwölftes Buch (SGB XII) – Sozialhilfe<>https://www.gesetze-im-internet.de/sgb_12/index.html
Sozialhilfe; Beantragung eines Schiedsverfahrens,L100042.LB.95868,090000000000,"Voraussetzung für die Anrufung der Schiedsstelle ist, dass eine Partei schriftlich zu Verhandlungen über den Abschluss einer Vereinbarung gemäß § 76 SGB XII aufgefordert worden ist und es innerhalb von drei Monaten nicht zu einer schriftlichen Vereinbarung gekommen ist.","§§ 76, 77, 81 (Sozialgesetzbuch) SGB Zwölftes Buch (XII)<>https://www.gesetze-im-internet.de/sgb_12/|§§100, 41a bis 41d, 35 bis 40f Verordnung zur Ausführung der Sozialgesetze (AVSG)<>https://www.gesetze-bayern.de/Content/Document/BayAVSG"
Entschädigung nach Infektionsschutzgesetz bei eigener Kinderbetreuung - Selbstständige,L100108.LB.L100108.329556,110000000000,"betreuungsbedürftige PersonEin Kind, das das zwölfte Lebensjahr noch nicht vollendet hat oder behindert und auf Hilfe angewiesen ist, wird betreut.vorübergehende Schließung von Kinderbetreuungseinrichtungen, Schulen oder Einrichtungen für Menschen mit Behinderungen (ab 30.03.2020)Die vorübergehende Schließung erfolgt von der zuständigen Behörde zur Verhinderung der Verbreitung von Infektionen oder übertragbaren Krankheiten auf Grund des Infektionsschutzgesetzes. Soweit die Schließung durch § 28b Absatz 3 IfSG (in der Fassung vom 28.05.2021) unmittelbar angeordnet ist, bedarf es keiner Anordnung durch eine zuständige Behörde.Betretungsverbot der Kinderbetreuungseinrichtung, Schule oder Einrichtung für Menschen mit Behinderungen (ab 30.03.2020)Das Betretungsverbot erfolgt bezogen auf die jeweilige genannte Einrichtung von der zuständigen Behörde zur Verhinderung der Verbreitung von Infektionen oder übertragbaren Krankheiten aufgrund des Infektionsschutzgesetzes. Soweit das Betretungsverbot durch § 28b Absatz 3 IfSG (in der Fassung vom 28.05.2021) unmittelbar angeordnet ist, bedarf es keiner Anordnung durch eine zuständige Behörde.Quarantäne des Kindes (ab 30.03.2020)Falls kein generelles Betretungsverbot der Kinderbetreuungseinrichtung, Schule oder Einrichtung für Menschen mit Behinderungen besteht, gegenüber dem Kind aber eine Quarantäne angeordnet ist und dieses aus dem Grund der Quarantäne eine der vorgenannten Einrichtungen nicht betreten kann, gilt dies als Betretungsverbot.Anordnung oder Verlängerung von Schul- oder Betriebsferien (ab 16.12.2020)Aus Gründen des Infektionsschutzes werden von der zuständigen Behörde Schul- oder Betriebsferien angeordnet oder verlängert.Aufhebung der Präsenzpflicht (ab 16.12.2020)Aus Gründen des Infektionsschutzes wird von der zuständigen Behörde die Präsenzpflicht in einer Schule aufgehoben.Einschränkung des Kinderbetreuungsangebots (ab 31.03.2021)Aus Gründen des Infektionsschutzes wird von der zuständigen Behörde der Zugang zum Kinderbetreuungsangebot eingeschränkt.behördliche Empfehlung (ab 31.03.2021)Aus Gründen des Infektionsschutzes wird von einer Behörde empfohlen, vom Besuch einer Einrichtung zur Betreuung von Kindern, einer Schule oder einer Einrichtung für Menschen mit Behinderungen abzusehen.Betreuung durch erwerbstätige PersonDie erwerbstätige Person muss die betreuungsbedürftige Person im Zeitraum einer Maßnahme nach § 56 Absatz 1a Satz 1 Nummer 1 IfSG selbst beaufsichtigen, betreuen oder pflegen, weil keine andere Betreuungsmöglichkeit sichergestellt werden konnte.keine zumutbare BetreuungsmöglichkeitDie erwerbstätige Person hat darzulegen, dass keine andere zumutbare Betreuungsmöglichkeit sichergestellt werden konnte. Als zumutbare Betreuungsmöglichkeiten gelten:
angebotene Notbetreuungenzum Haushalt der erwerbstätigen Person gehörende Personen (z. B. Ehepartnerin, Ehepartner, Lebenspartnerin, Lebenspartner, Geschwisterkinder ab dem 16. Lebensjahr, Großeltern (soweit dieser nicht einer Risikogruppe zuzurechnen sind) oder andere Verwandte)zumutbare Nutzung von HomeofficeVerdienstausfallAls monatlicher Verdienstausfall gilt ein Zwölftel des nach den allgemeinen Gewinnermittlungsvorschriften des Einkommensteuerrechts ermittelten Gewinns aus der entschädigungspflichtigen Tätigkeit. Der Zeitraum des durch die notwendige Betreuung eines Kindes verursachten Verdienstausfalls umfasst nicht immer den gesamten Zeitraum der jeweiligen infektionsschutzrechtlichen Maßnahme des § 56 Absatz 1a Satz 1 Nummer 1 IfSG. So können z. B. Zeiten, in denen die betreuende Person andere Entgeltansprüche hat, den maßnahmebedingten Verdienstausfallzeitraum reduzieren:
KrankheitszeitenMutterschutzzeitenZeiten der möglichen Arbeitsleistung im HomeofficeZeiten, in denen die selbständige Tätigkeit unabhängig von einer infektionsschutzrechtlichen Maßnahme des § 56 Absatz 1a Satz 1 Nummer 1 IfSG ruhte oder nicht ausgeübt wurde",Infektionsschutzgesetz (IfSG) §§ 56 ff.<>https://www.gesetze-im-internet.de/ifsg/__56.html
Bürgergeld; Beantragung eines Darlehens in bestimmten akuten Notsituationen,L100042.LB.131130,090000000000,"Damit Sie das Darlehen vom Jobcenter bekommen können, müssen Sie nachweisen, dass:
Sie einen akuten, einmaligen Bedarf haben, der seiner Art nach zu den alltäglichen Bedürfnissen gehört (Regelbedarf),Sie diesen Bedarf nicht durch die dafür vorgesehene Leistung (Bürgergeld) ausgleichen können und Sie kein Vermögen haben,Sie keine andere Möglichkeit haben, den Bedarf zu decken (zum Beispiel über Gebrauchtwarenlager oder Kleiderkammer) und,der Bedarf unabweisbar ist. Dies trifft zu,
	wenn Sie ihn nicht aufschieben können undSie den Bedarf nicht mit den nächsten Leistungen zur Deckung des Regelbedarfs ausgleichen können.","§ 24 Absatz 1 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__24.html|§ 37 Absatz 1 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__37.html|§ 42a Absätze 1, 2, 4 und 6 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__42.html"
Bildungspaket - Kostenerstattung für Schulbedarf für Schüler (Wohngeld/Kinderzuschlag Bezieher),S100002.LB.S1000020010000006168,020000000000,"Schüler unter 25 Jahren, die oder deren Eltern Bezieher von Wohngeld oder Kinderzuschlag nach dem Bundeskindergeldgesetz sind
Besuch einer allgemein- oder berufsbildenden Schule, auch vorschule
kein Erhalt einer Ausbildungsvergütung","§ 28 SGB II, § 6b BKGG"
Pass für Geringverdiener beantragen,L100040.LB.509483555,030000000000,"Antragsberechtigt sind Sie in der Regel bei Bezug von

Hilfe zum Lebensunterhalt oder Grundsicherung nach Sozialgesetzbuch XII
Bürgergeld oder Sozialgeld nach Sozialgesetzbuch II
Leistungen nach dem Asylbewerberleistungsgesetz
Leistungen nach dem Wohngeldgesetz

weitere Voraussetzung:

Sie haben Ihren Hauptwohnsitz in der Stadt oder Gemeinde, die den Pass für Geringverdiener ausstellt.
Welche genauen Einkommensgrenzen gelten und welche weiteren Voraussetzungen Sie erfüllen müssen, erfahren Sie bei der zuständigen Stelle.",die jeweilige kommunale Richtlinie zur Gewährung dieser freiwilligen Leistung
Darlehen in bestimmten akuten Notsituationen beantragen,B100019.LB.102716301,000000000000,"Damit Sie das Darlehen vom Jobcenter bekommen können, müssen Sie nachweisen, dass:  Sie einen akuten, einmaligen Bedarf haben, der seiner Art nach zu den alltäglichen Bedürfnissen gehört (Regelbedarf), Sie diesen Bedarf nicht durch die dafür vorgesehene Leistung (Bürgergeld) ausgleichen können und Sie kein Vermögen haben, Sie keine andere Möglichkeit haben, den Bedarf zu decken (zum Beispiel über Gebrauchtwarenlager oder Kleiderkammer) und, der Bedarf unabweisbar ist. Dies trifft zu,  wenn Sie ihn nicht aufschieben können und Sie den Bedarf nicht mit den nächsten Leistungen zur Deckung des Regelbedarfs ausgleichen können.","§ 24 Absatz 1 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__24.html|§ 37 Absatz 1 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__37.html|§ 42a Absätze 1, 2, 4 und 6 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__42.html"
Entschädigung nach dem Infektionsschutzgesetz für nicht gedeckte Betriebskosten beantragen,L100040.LB.492848307,030000000000,"Bei Quarantäne oder Tätigkeitsverbot haben Sie Anspruch auf Entschädigung der weiterlaufenden nicht gedeckten Betriebsausgaben, wenn

Sie selbstständig sind,
Ihr Betrieb oder Ihre Praxis während des Tätigkeitsverbots oder der Quarantäne ruht und 
Sie Anspruch auf Entschädigung Ihres Verdienstausfalls haben.",§ 56 Absatz 4 Satz 2 Gesetz zur Verhütung und Bekämpfung von Infektionskrankheiten beim Menschen (Infektionsschutzgesetz - IfSG) - Entschädigung<>https://www.gesetze-im-internet.de/ifsg/__56.html|Rahmeninformationen können über die FAQs des Bundesministeriums für Gesundheit gefunden werden.<>https://www.bundesgesundheitsministerium.de/service/begriffe-von-a-z/e/entschaedigungsansprueche-nach-56-ifsg.html
Witwen- und Witwerrente für Hinterbliebene in der gesetzlichen Unfallversicherung erhalten,B100019.LB.582441,000000000000,"Sie haben unter folgenden Voraussetzungen einen Anspruch auf die Witwen- und Witwerrente für Hinterbliebene:  Tod der (Ehe-)Partnerin oder des (Ehe-)Partners infolge eines Versicherungsfalles:  Arbeitsunfall, Wegeunfall oder Berufskrankheit   Sie haben schon davor in einer rechtsgültigen Ehe oder Lebenspartnerschaft nach dem Lebenspartnerschaftsgesetz gelebt.  Sie haben in der Regel keinen Anspruch, wenn  Sie die Ehe oder Lebenspartnerschaft erst nach dem Versicherungsfall geschlossen haben und der Tod innerhalb des ersten Jahres dieser Ehe oder Lebenspartnerschaft eingetreten ist.",§ 65 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__65.html
Bildungspaket - Kostenerstattung für Ausflüge und Reisen mit Schulen und Kitas (Wohngeld/Kinderzuschlag Bezieher),S100002.LB.S1000020010000006165,020000000000,"Anspruch haben Kinder unter 25 Jahren, die oder deren Eltern Bezieher von Wohngeld oder Kinderzuschlag nach dem Bundeskindergeldgesetz sind und 
eine Kindertageseinrichtung oder einen Hort besuchen bzw. bei Tageseltern versorgt werden oder
eine allgemein- oder berufsbildende Schule besuchen und
keine Ausbildungsvergütung erhalten","§ 28 SGB II, § 6b BKGG"
Übernahme der Bestattungskosten beantragen (Sozialhilfe),L100022.LB.1343,080000000000,"Sie sind zur Tragung der Bestattungskosten verpflichtet.
Die verstorbene Person hat keinen ausreichenden Nachlass hinterlassen.
Sie können die Kosten der Bestattung nicht aus eigenen Mitteln tragen.
Die Kosten sind unter sozialhilferechtlichen Aspekten angemessen.

Berücksichtigt werden nur die Kosten für ein ortsüblich einfaches, aber würdiges Begräbnis oder für eine solche Feuerbestattung. Beispielsweise gehören dazu die Kosten für den Sarg oder eine Urne, ein Leichenhaus und Grabgebühren sowie Kosten für das Anlegen des Grabes.
Nicht berücksichtigt werden unter anderem Kosten für die laufende Grabpflege und für Trauerkleidung.",Zwölftes Buch Sozialgesetzbuch (SGB XII) <>https://www.gesetze-im-internet.de/sgb_8/|§ 31 Abs. 1<>http://www.landesrecht-bw.de/jportal/?quelle=jlink&amp;query=BestattG+BW+%C2%A7+31&amp;psml=bsbawueprod.psml&amp;max=true|§ 21 Abs. 1 Nr. 1 und Abs. 3 Bestattungsgesetz (Bestattungspflichtige)<>http://www.landesrecht-bw.de/jportal/?quelle=jlink&amp;query=BestattG+BW+%C2%A7+21&amp;psml=bsbawueprod.psml&amp;max=true
Verdienstausfallentschädigung bei Mehrkosten beantragen,L100040.LB.492915246,030000000000,"Es bestand eine Quarantäne nach § 30 IfSG oder ein Tätigkeitsverbot nach § 31 IfSG.
Es gab keine Möglichkeit, den Verdienstausfall durch eine andere zumutbare Tätigkeit auszugleichen.
Die Existenz der Betroffenen ist gefährdet und es sind Mehraufwendungen entstanden.
Der Antrag auf Entschädigung muss innerhalb von 2 Jahren nach Beginn des Tätigkeitsverbots oder Ende der Quarantäne gestellt werden.
Es bestand keine Erkrankung bzw. Arbeitsunfähigkeit.",§ 56 Abs. 4 S. 1 des Gesetzes zur Verhütung und Bekämpfung von Infektionskrankheiten beim Menschen (Infektionsschutzgesetz - IfSG) - Entschädigung<>https://www.gesetze-im-internet.de/ifsg/__56.html|Rahmeninformationen können über die FAQs des Bundesministeriums für Gesundheit gefunden werden.<>https://www.bundesgesundheitsministerium.de/service/begriffe-von-a-z/e/entschaedigungsansprueche-nach-56-ifsg.html
