Name,Description,ID-LB,ARS,Eligibility Requirements,Legal Basis
Berechtigung zur Nutzung des Berlin-Ticket S sowie weiterer Vergünstigungen,"Mobilität ist eine wesentliche Voraussetzung für gesellschaftliche Teilhabe, insbesondere für Menschen, die Sozialleistungen beziehen. In Berlin haben diese Personen daher Anspruch auf vergünstigten Zugang zum öffentlichen Nahverkehr. Zur Nutzung dieser Vergünstigung reicht der Leistungsbescheid oder Leistungsnachweis aus. Mit diesem Dokument können Berlinerinnen und Berliner sowohl das Berlin-Ticket S (Sozialticket) in Anspruch nehmen als auch die allgemeinen Vergünstigungen im Bereich:
Museen, Theater, Konzerte, KinosSchwimmbäderZoo, Tiergarten, Botanischer GartenBibliothekenKurse in der Volkshochschule oder in der MusikschuleDas Berlin-Ticket S ist eine preisreduzierte Monatskarte für den Tarifbereich AB und ermöglicht die Nutzung aller öffentlichen Verkehrsmittel in Berlin. Seit dem 1. Januar 2023 wurde der Preis des Tickets von 27,50 Euro auf 9,00 Euro gesenkt, um die gestiegenen Lebenshaltungs- und Energiekosten für die Betroffenen zu lindern. Diese Preisreduzierung gilt bis vorerst Ende 2025.

Zum 1. Januar 2025 endet das seit 2023 bestehende Interimsverfahren zur Ausstellung der VBB-Kundenkarte Berlin S auf Basis eines Berechtigungsnachweises. Ab diesem Zeitpunkt sind weder ein Berechtigungsnachweis noch eine VBB-Kundenkarte Berlin S erforderlich. Das Berlin-Ticket S ist dann in Kombination mit einem gültigen Leistungsbescheid oder Leistungsnachweis und einem amtlichen Ausweisdokument gültig. Diese Dokumente müssen bei Kontrollen zusammen mit dem Berlin-Ticket S vorgelegt werden. Personen, die noch im Besitz einer gültigen VBB-Kundenkarte sind, können diese bis zum Ablauf ihrer Gültigkeit weiterhin nutzen.

Achtung: Ab dem 1. Januar 2025 ist nicht mehr die BG-Nummer zu verwenden.
Um das Berlin-Ticket S nutzen zu können, müssen ab dem 01. Januar 2025 der vollständige Vor- und Nachname auf dem Ticket eingetragen sowie der Leistungsbescheid oder ein Leistungsnachweis mitgeführt werden. Der Name auf dem Ticket muss dabei mit dem Namen im Leistungsbescheid oder Leistungsnachweis übereinstimmen. Diese Regelung gilt bis vorerst 30.06.2025.

Nur ein bestimmter Personenkreis erhält statt einen Leistungsbescheid einen Leistungsnachweis nach Anfrage, dazu zählen:

Personen, die Leistungen nach den SED-Unrechtsbereinigungsgesetzen nicht von einer Berliner Behörde erhalten, bekommen ihren Leistungsnachweis auf Anfrage beim Landesamt für Gesundheit und Soziales.Personen im Berliner Justizvollzug erhalten den Leistungsnachweis von ihrer Ansprechperson in der Justizvollzugsanstalt.Personen, die in Berlin leben (z.B. in einer besonderen Wohnform, einem Heim) und in einem anderen Bundesland Sozialhilfeleistungen beziehen, bekommen ihren Leistungsnachweis auf schriftlichen Antrag vom Amt für Soziales des Bezirksamtes Friedrichshain-Kreuzberg. Eine persönliche Vorsprache ist nicht notwendig.Mitglieder der Bedarfsgemeinschaft, die wegen ihres Einkommens selbst keinen eigenen Leistungsanspruch haben, aber mit ihrem übersteigenden Einkommen den Bedarf der anderen Mitglieder decken, können ebenfalls mit dem Leistungsbescheid das Berlin-Ticket S nutzen. Als Nachweis der Berechtigung ist neben dem Leistungsbescheid selbst die Anlage zum Besscheid, der Berechnungsbogen, vorzuzeigen.
""Nutzung des Berlin-Ticket S mit einem Leistungsnachweis
Sie haben einen Leistungsnachweis von einer der Rechtskreise (zum Beispiel LaGeSo, LABO, JVA) bekommen. Sie können das Berlin-Ticket S mit Ihrem gültigen Leistungsnachweis in Original zusammen mit dem Personalausweisdokument verwenden.

1. Sie haben Ihren Leistungsnachweis erhalten.
2. Sie kaufen ein Berlin-Ticket S für 9 Euro an den üblichen Verkaufsstellen, Automaten oder in den Apps der Verkehrsbetriebe.
3. Sie tragen auf dem Ticket oder in der App das bis zum 31.12.2024 das Aktenzeichen Ihres Leistungsnachweises ein.

Bitte beachten Sie, dass der Leistungsnachweis immer im Original mitgeführt werden muss.

WICHTIG: Ab dem 01. Januar 2025 muss der vollständige Vor- und Nachname auf dem Ticket eingetragen sowie der Leistungsbescheid oder ein Leistungsnachweis mitgeführt werden. Der Name auf dem Ticket muss dabei mit dem Namen im Leistungsbescheid oder Leistungsnachweis übereinstimmen. Diese Regelung gilt bis vorerst 30.06.2025.

""Nutzung des Berlin-Ticket S mit einem Leistungsbescheid
Sie haben einen Leistungsbescheid von Ihrer Leistungsstelle (zum Beispiel Jobcenter, Sozialamt) bewilligt bekommen. Sie können das Berlin-Ticket S mit Ihrem gültigen Leistungsbescheid in Kopie zusammen mit dem Personalausweisdokument verwenden.

1. Sie haben Ihren aktuellen Leistungsbescheid erhalten.
2. Sie kaufen ein Berlin-Ticket S für 9 Euro an den üblichen Verkaufsstellen, Automaten oder in den Apps der Verkehrsbetriebe.
3. Sie tragen auf dem Ticket oder in der App das Aktenzeichen des Leistungsbescheides ein. Personen, die Leistungen nach dem SGB II (Bürgergeld) erhalten, tragen stattdessen die Kundennummer des Leistungsbescheides ein.

WICHTIG: Ab dem 01. Januar 2025 muss der vollständige Vor- und Nachname auf dem Ticket eingetragen sowie der Leistungsbescheid oder ein Leistungsnachweis mitgeführt werden. Der Name auf dem Ticket muss dabei mit dem Namen im Leistungsbescheid oder Leistungsnachweis übereinstimmen. Diese Regelung gilt bis vorerst 30.06.2025.

Sie können eine Kopie Ihres Leistungsbescheides verwenden und diese sogar schwärzen. Folgende Angaben im Leistungsbescheid müssen aber lesbar bleiben:
KopfbogenÜberschrift/BetreffName und Vorname der Person, die den Leistungsbescheid verwendetKundennummer oder Aktenzeichen des Leistungsbescheides undBewilligungszeitraum.Alle weiteren Angaben (beispielsweise die Höhe der Leistungen oder Kontendaten) können geschwärzt werden.

ACHTUNG:
Bei Fahrausweiskontrollen brauchen Sie dann folgende Unterlagen:
das aktuell gültige Berlin-Ticket S mit darauf notiertem Aktenzeichen oder Kundennummer des Jobcenter-Leistungsbescheides,Ihren Personalausweis, Reisepass oder einen anderen amtlichen Identifikationsnachweis mit Passfoto. Für Jugendliche unter 16 Jahren kann der Schülerausweis verwendet werden.Ihren Leistungsbescheid oder Original-LeistungsnachweisWeitere Informationen zum Sozialticket finden Sie unter „Weiterführende Informationen“.

Achtung: Nutzung des Berlin-Ticket S mit einer noch gültigen VBB-Kundenkarte Berlin S
Für Personen, die noch eine VBB-Kundenkarte besitzen, besteht die Möglichkeit, das Berlin-Ticket S gemeinsam mit ihrer aktuellen VBB-Kundenkarte Berlin S zu nutzen. Hierfür muss bis zum 31.12.2024 die Kundennummer der VBB-Kundenkarte auf dem Berlin-Ticket S eingetragen und bei Kontrollen gemeinsam mit dem Berlin-Ticket vorgezeigt werden. Danach muss wie bei den anderen Bescheiden der Vor- und Nachname eingetragen werden. Die VBB-Kundenkarte Berlin S bleibt bis zu ihrem Ablauf gültig.

Anspruchsberechtigte, die dennoch eine neue VBB-Kundenkarte Berlin S für dieses Jahr beantragen möchten, können dies bis zum 30. November 2024 tun. Die beantragten VBB-Kundenkarten Berlin S werden bis zum 31. Dezember 2024 ausgestellt und verschickt.",L100108.LB.L100108.121742,110000000000,"Hauptwohnsitz in Berlin oder Sie haben keinen festen WohnsitzEine Berechtigung zur Nutzung des Berlin-Ticket S sowie weiteren Vergünstigungen erhält auch, wer keinen festen Wohnsitz hat und Leistungen vom Land Berlin bezieht.Bezug von TransferleistungenEine Berechtigung zur Nutzung des Berlin-Ticket S sowie für weitere Vergünstigungen erhalten alle Personen, die eine der folgenden Leistungen beziehen:
1) Arbeitslosengeld II bzw. Sozialgeld (Hartz IV, Bürgergeld)
2) Sozialhilfe
3) Grundsicherung im Alter
4) Grundsicherung bei voller Erwerbsminderung
5) Leistungen nach dem Asylbewerberleistungsgesetz
6) Wohngeld
7) Leistungen nach dem SED-Unrechtsbereinigungsgesetzen:
Opferrente nach § 17a Strafrechtliches Rehabilitierungsgesetz (StrRehaG)Ausgleichsleistungen nach § 8 Berufliches Rehabilitierungsgesetz (BRehaG)Ausgleichsrente für Schwerbeschädigte oder Berufsschadensausgleich nach § 21 StrRehaG, § 4 Häftlingshilfegesetz (HHG) und § 3 Verwaltungsrechtliches Rehabilitierungsgesetz (VwRehaG) in Verbindung mit § 144 SGB XIVBerufsschadensausgleich nach § 21 StrRehaG, § 4 Häftlingshilfegesetz (HHG) und § 3 Verwaltungsrechtliches Rehabilitierungsgesetz (VwRehaG) in Verbindung mit § 89 SGB XIV
NS-Ausgleichsrente nach § 13 Gesetz über die Anerkennung und Versorgung der politisch, rassisch oder religiös Verfolgten des Nationalsozialismus (PrVG)Darüber hinaus können bei den Leistungen 1 bis 5 auch die Mitglieder der Bedarfsgemeinschaft der leistungsberechtigten Person (Familienangehörige) das Berlin-Ticket S sowie weitere Vergünstigungen nutzen. Ebenso sind Haushaltsmitglieder eines Wohngeldempfängers berechtigt, sofern sie bei der Berechnung des Wohngeldanspruchs berücksichtigt wurden.

Dies gilt auch für Mitglieder der Bedarfsgemeinschaft, die wegen ihres Einkommens selbst keinen eigenen Leistungsanspruch haben, aber mit ihrem übersteigenden Einkommen den Bedarf der anderen Mitglieder decken.Wenn Sie zu einem bestimmten Personenkreis gehören: zusätzlich Antrag notwendigWenn Sie zu den folgenden Personengruppen gehören, wird Ihnen ein Leistungsnachweis nicht automatisch zugeschickt. Nur bestimmte Personengruppen erhalten diesen nach Anfrage. Dazu zählen:
Personen im Berliner Justizvollzug, die an Maßnahmen außerhalb des Vollzuges teilnehmenPersonen, die in Berlin leben (z.B. in einer besonderen Wohnform, einem Heim) und in einem anderen Bundesland Sozialhilfeleistungen beziehenPersonen ohne festen Wohnsitz, die Leistungen vom Land Berlin beziehenPersonen, die in Berlin ihren Wohnsitz haben und in einem anderen Bundesland Opferrenten oder Ausgleichsleistungen nach den SED-Unrechtsbereinigungsgesetzen beziehenPersonen aus der Bedarfsgemeinschaft, die wegen ihres Einkommens selbst keinen eigenen Leistungsanspruch haben, aber mit ihrem übersteigenden Einkommen den Bedarf der anderen Mitglieder decken.Personen, die Leistungen nach dem Sozialgesetzbuch (SGB) VIII oder andere nicht hier aufgeführte Leistungen beziehen, haben keinen Anspruch auf den Berechtigungsnachweis.",keine
Entschädigung bei Verdienstausfall beantragen,"Sie können eine Entschädigung erhalten, wenn Sie einen Verdienstausfall infolge von behördlich angeordneter Quarantäne bzw. Tätigkeitsverbot und Schließung von Betreuungseinrichtungen haben.",L100040.LB.492840665,030000000000,"Die Voraussetzungen der jeweiligen Regelung (Quarantäne/Tätigkeitsverbot oder nötige Betreuung) sind erfüllt.
Es gab keine Möglichkeit, den Verdienstausfall durch eine andere zumutbare Tätigkeit auszugleichen oder eine alternative, zumutbare Betreuung des Kindes zu gewährleisten.
Der Antrag auf Entschädigung muss innerhalb von 2 Jahren gestellt werden.
Es bestand keine Erkrankung bzw. Arbeitsunfähigkeit.
Der Verdienstausfall wurde durch keine anderweitige staatliche Maßnahme kompensiert.",§§ 56ff. des Gesetzes zur Verhütung und Bekämpfung von Infektionskrankheiten beim Menschen (Infektionsschutzgesetz - IfSG) - Entschädigung<>https://www.gesetze-im-internet.de/ifsg/__56.html || Lohnabzugstabellen zur Ermittlung des Nettoentgeltes entsprechend § 56 IfSG und Rahmeninformationen können über die FAQs des Bundesministeriums für Gesundheit gefunden werden.<>https://www.bundesgesundheitsministerium.de/service/begriffe-von-a-z/e/entschaedigungsansprueche-nach-56-ifsg.html
Bildungspaket - Ansparen für Freizeiten,"Innerhalb des Bewilligungszeitraums können die monatlichen Beträge (15 Euro Pauschale pro Monat) auch angespart werden, beispielsweise um eine Ferienfreizeit zu finanzieren. Die Teilhabebeträge können für einen Zeitraum von maximal zwölf Monaten angespart werden. Die Ansparmöglichkeit der monatlichen Pauschale von 15 Euro besteht für den gesamten Bewilligungszeitraum.
Beispiel: Der Bewilligungszeitraum umfasst zwölf Monate. Bei einem monatlichen Teilhabe-Pauschalbetrag von 15 Euro sind das insgesamt 180 Euro, die angespart und für eine Ferienfreizeit genutzt werden können.
Diese Ansparung kann dabei auch rückwirkend für den gesamten Bewilligungszeitraum erfolgen, wenn noch keine Bildungs- und Teilhabeleistungen in Anspruch genommen wurden und der Bewilligungszeitraum noch nicht geendet hat. Voraussetzung ist stets der derzeit gültige Bewilligungsbescheid. Bereits abgelaufene Bescheide können nicht eingesetzt werden.
Darüber hinaus können Leistungsberechtigte auch über ihren jeweils vorliegenden Bewilligungszeitraum hinaus die Kosten für eine Freizeit ansparen, indem sie eine Anschlussbewilligung für die Freizeit einsetzen.",S100002.LB.S1000020010000006528,020000000000,"Leistungsberechtigt sind Kinder unter 18 Jahren, die (oder deren Eltern) Leistungen nach dem SGB II, dem SGB XII, der §§ 2 oder 3 AsylbLG oder Wohngeld oder Kinderzuschlag erhalten.",§ 28 SGB II
Leistungen nach dem Bildungs- und Teilhabepaket beantragen,"Damit auch Kinder und Jugendliche aus Familien mit geringem Einkommen überall mitmachen können, gibt es das Bildungs- und Teilhabepaket (BuT). Ausschließlich Empfänger/innen von Wohngeld und/oder Kinderzuschlag müssen einen Antrag auf Leistungen aus dem Bildungs- und Teilhabepaket stellen. Alle anderen Leistungsempfänger/innen brauchen keinen Antrag stellen. Es reicht, wenn Sie Ihre Nachweise und Belege bei Ihrer Leistungsstelle einreichen.

Verfahrensablauf

Für Empfänger/innen von Wohngeld und/oder Kinderzuschlag
1. Stellen Sie einen Antrag auf Leistungen nach dem Bildungs- und Teilhabepaket. Das können Sie online erledigen oder schriftlich per Post.

2. Laden Sie Ihre Nachweise und Belege online hoch oder reichen Sie sie per Post ein.

3. Sie erhalten das Geld von Ihrer Leistungsstelle direkt auf Ihr Konto. Sie erhalten den ""berlinpass-BuT"" per Post.

4. Um die Leistungen aus dem Bildungs- und Teilhabepaket in der Kita, Schule und Kindertagespflege oder die zahlreichen Vergünstigungen bei Kultur, Sport und Freizeit in Anspruch zu nehmen, legen Sie den berlinpass-BuT vor.
Sie können den berlinpass-BuT auch ohne Passbild zusammen mit einem Ausweisdokument (z. B. Schülerausweis) vorzeigen.
Für andere Leistungsempfänger/innen (z. B. Bürgergeld)
1. Lassen Sie sich für Ihr Kind einen ""berlinpass-BuT"" ausstellen.
Der berlinpass-BuT dient als Nachweis z.B. gegenüber der Schule oder Kita dafür, dass Ihr Kind Anspruch auf Leistungen aus dem Bildungs- und Teilhabepaket hat.
Um den berlinpass-BuT zu bekommen, reichen Sie bitte die Bescheinigung über den Kitabesuch/Betreuungsvertrag oder Schulbescheinigung/Schülerausweis sowie ein Passfoto (optional) im Format 3,5 cm X 4,5 cm bei Ihrer Leistungsstelle ein.Die Leistungsstelle stellt Ihnen den berlinpass-BuT aus und schickt Ihnen diesen per Post zu.2. Reichen Sie die Nachweise und Belege per Post oder vor Ort bei Ihrer Leistungsstelle (z. B. beim Jobcenter) ein. Sie brauchen keinen Antrag stellen.

3. Sie erhalten das Geld von Ihrer Leistungsstelle direkt auf Ihr Konto.

4. Um die Leistungen aus dem Bildungs- und Teilhabepak in der Kita, Schule und Kindertagespflege oder die zahlreichen Vergünstigungen bei Kultur, Sport und Freizeit in Anspruch zu nehmen, legen Sie den berlinpass-BuT vor.
Sie können den berlinpass-BuT auch ohne Passbild zusammen mit einem Ausweisdokument (z. B. Schülerausweis) vorzeigen.
Die Leistungen aus dem Bildungs- und Teilhabepak umfassen:
Mittagessen in Schule und Kita: vollständige Kostenübernahmepersönlicher Schulbedarf: 174 Euro; mit regelmäßiger AnpassungWeg zur Schule und zum Freizeitort: vollständige Kostenübernahme für Fahrkosten, die nicht bereits durch das kostenlose Schülerticket für den Tarifbereich AB der BVG gedeckt sindSportverein, Musikschule oder kulturelle Aktivitäten: Es werden bis zur Vollendung des 18. Lebensjahres Kosten in Höhe von pauschal 15 Euro im Monat übernommen für: Mitgliedschaft in Vereinen (Sport, Spiel, Kultur und Geselligkeit), Musikunterricht, vergleichbare Kurse oder Aktivitäten kultureller Bildung sowie die Teilnahme an Freizeitfahrten. Darunter fallen nicht nur monatliche Mitgliedsbeiträge, sondern auch einmalige Veranstaltungen, der „Superferienpass“ vom Jugendkulturservice, Angebote in der Gruppe für Babys und Kleinkinder (PEKIP-Kurse, Gruppenschwimmen, musikalische Früherziehung etc.), Hausaufgabenbetreuung in der Gruppe, Gebühren in Fitnessstudios und vieles mehr. Das gemeinsame Erleben steht im Vordergrund.Ausrüstungsgegenstände bzw. Leihgebühren und Fahrtkosten zum Teilhabeangebot oder für Freizeitfahrten: Dafür erhalten Sie bis zu 15 Euro monatlich. Die tatsächliche Höhe ist von einem Eigenanteil abhängig, der durch die Leistungsstelle für Sie berechnet wird. Den Eigenanteil müssen Sie selbst bezahlen.Ausflüge und Fahrten der Schule oder der Kita: vollständige KostenübernahmeFörderungen außerhalb der Schule, wenn Schülerinnen und Schüler zum Erreichen ihres Lernziels eine Förderung benötigen: vollständige Kostenübernahmezahlreiche Vergünstigungen bei Kultur, Sport und Freizeit. Dabei handelt es sich z. B. um ermäßigten oder kostenlosen Eintritt ins Schwimmbad, ins Museum, in den Tierpark oder Zoo sowie für bestimmte Veranstaltungen.",L100108.LB.L100108.324466,110000000000,"Berechtigt sind Kinder, Jugendliche und junge Erwachsene bis zum 25. GeburtstagAusnahme: Bei Leistungen zum Mitmachen in Kultur, Sport und Freizeit sind Kinder und Jugendliche nur bis zum 18. Geburtstag berechtigt.Bei Bezug von Sozialhilfe oder Leistungen nach dem Asylbewerberleistungsgesetz gilt keine Altersbeschränkung.Auszubildende, die eine Ausbildungsvergütung erhalten, bekommen keine Leistungen aus dem Bildungspaket.Sie beziehen Leistungen zur Sicherung des LebensunterhaltsBezug von SozialhilfeBezug von Leistungen nach dem AsylbewerberleistungsgesetzBezug von BürgergeldBezug von WohngeldBezug von Kinderzuschlagoder vergleichbar geringem EinkommenSie haben einen berlinpass-BuT mit oder ohne PassbildDer berlinpass-BuT dient als Nachweis gegenüber der Schule oder Kita dafür, dass Ihr Kind Anspruch auf Leistungen aus dem Bildungspaket hat. Sie bekommen den berlinpass-BuT bei Ihrer Leistungsstelle.","Sozialgesetzbuch Zwölftes Buch (SGB XII) §§ 34, 34a - Empfänger/innen von Sozialhilfe<>https://www.gesetze-im-internet.de/sgb_12/BJNR302300003.html#BJNR302300003BJNG003600308 || Asylbewerberleistungsgesetz (AsylbLG)<>https://www.gesetze-im-internet.de/asylblg/index.html#BJNR107410993BJNE000205310 || Sozialgesetzbuch Zweites Buch (SGB II) §§ 28, 29 - Empfänger/innen von Arbeitslosengeld II und Sozialgeld<>https://www.gesetze-im-internet.de/sgb_2/BJNR295500003.html#BJNR295500003BJNG000902308 || Wohngeldgesetz (WoGG)<>https://www.gesetze-im-internet.de/wogg/ || Bundeskindergeldgesetz (BKGG) § 6b<>https://www.gesetze-im-internet.de/bkgg_1996/__6b.html || Ausführungsvorschriften über die Gewährung der Leistungen für Bildung und Teilhabe (AV-BuT)<>https://www.berlin.de/sen/soziales/service/berliner-sozialrecht/kategorie/ausfuehrungsvorschriften/av_but-604137.php || Berliner Sozialrecht<>https://www.berlin.de/sen/soziales/service/berliner-sozialrecht/"
Sozialhilfe Hilfe in sonstigen Lebenslagen Bewilligung,"Wenn Ihre bedarfsauslösende Lebenslage nicht im Sozialrecht geregelt wird, kann Hilfe in sonstigen Lebenslagen gewährt werden.",S100002.LB.S1000020010000012302,020000000000,"Ausschluss vorrangiger Leistungen
Nachgewiesener Bedarf",https://www.gesetze-im-internet.de/sgb_12/__73.html<>https://www.gesetze-im-internet.de/sgb_12/__73.html
Sozialrabatt,Die Stadt Hamburg bietet für bestimmte Leistungsbeziehende einen Sozialrabatt auf Zeitkarten des HVV an.,S100002.LB.S1000020010000003422,020000000000,"Den Sozialrabatt können nur Personen erhalten, wenn sie existenzsichernde Leistungen eines Hamburger Leistungsträgers beziehen (auch aufstockend). Dazu gehören folgende Leistungsarten:
SGB II (Bürgergeld) - Jobcenter team.arbeit.hamburg
SGB XII (Hilfen zum Lebensunterhalt) - Bezirksämter/ Fachämter Grundsicherung
Asylbewerberleistungsgesetz (AsylbLG) -  Bezirksämter/ Fachämter Grundsicherung /Amt für Migration
Das gilt auch für die Haushaltsmitglieder. Der Wohnsitz muss in Hamburg sein.
Kein Rabatt für Wohngeldempfänger (da dies keine existenzsichernde Leistung ist, sondern ein Zuschuss zu den Wohnkosten).",nicht angegeben
Übergangsgeld,"Übergangsgeld dient zur Sicherung des Lebensunterhalts. Es wird erbracht, wenn Versicherte Leistungen zur Teilhabe am Arbeitsleben erhalten.
Um das Übergangsgeld zu berechnen, wird zunächst die ""maßgebliche Berechnungsgrundlage"" festgestellt. Diese beträgt 80 Prozent des Regelentgelts, jedoch höchstens das entgangene Nettoarbeitsentgelt. In der Regel erhalten Sie 68 Prozent des letzten Nettoverdienstes als Übergangsgeld.
 Erhöhtes Übergangsgeld
Sie erhalten ein erhöhtes Übergangsgeld von in der Regel 75 Prozent des letzten Nettoverdienstes, wenn

Sie ein Kind haben, für das Anspruch auf Kindergeld besteht,
Sie pflegebedürftig sind und von Ihrem Ehepartner gepflegt werden, der deshalb keine Erwerbstätigkeit ausübt, oder
Ihr Ehepartner pflegebedürftig ist und Sie ihn pflegen, wodurch Sie keiner Erwerbstätigkeit nachgehen können.

Auch während Maßnahmen zur medizinischen Rehabilitation erhalten Sie Übergangsgeld, wenn

Sie arbeitsunfähig sind oder
wegen der Teilnahme an der Maßnahme keiner ganztägigen Erwerbstätigkeit nachgehen können.

In bestimmten Fällen können Ihnen jedoch statt Übergangsgeld – je nach Kostenträger – Krankengeld, Versorgungskrankengeld oder Verletztengeld zustehen.",L100001.LB.10751406,060000000000,"Wenn Sie an Maßnahmen zur Teilhabe am Arbeitsleben teilnehmen, haben Sie Anspruch auf Übergangsgeld unter folgenden Voraussetzungen:

Sie sind innerhalb der letzten 3 Jahre und vor Beginn der Maßnahme mindestens 12 Monate einer Beschäftigung nachgegangen, die ein Versicherungsverhältnis nach sich gezogen hat oder
Sie haben die Voraussetzungen für einen Anspruch auf Arbeitslosengeld oder Arbeitslosengeld II erfüllt.",§ 20 ff. Sechstes Buch Sozialgesetzbuch (SGB VI) – Übergangsgeld<>https://www.gesetze-im-internet.de/sgb_6/index.html || § 49 ff. Siebtes Buch Sozialgesetzbuch (SGB VII) – Übergangsgeld<>https://www.gesetze-im-internet.de/sgb_7/index.html || SGB IX – Unterhaltssichernde und andere ergänzende Leistungen<>https://www.gesetze-im-internet.de/sgb_9_2018/BJNR323410016.html#BJNR323410016BJNG001400000
Hilfen für Frauen in Notlagen,"Wenn Sie sich in einer schwierigen Situation befinden, können Sie   die Beratung zu Hilfen zur Überwindung besonderer sozialer   Schwierigkeiten in Anspruch nehmen",L100002.LB.23f633b14b7bd0edc48c84dc1d767dc5,050000000000,"Leistungen der Grundsicherung für Arbeitssuchende im Rahmen des Sozialgesetzbuches II (hier : ALG II) werden auf Antrag bewilligt, wenn Sie erwerbsfähig im Sinne des Gesetzes sind. Dies wird vorausgesetzt, wenn Sie unter den üblichen Bedingungen des Arbeitsmarkts mindestens 3 Stunden täglich erwerbstätig sein können. Als Einkommen werden alle Einnahmen in Geld (z. B. Kindergeld, Unterhalt) oder Geldeswert berücksichtigt. Leistungen der Grundsicherung im Alter hingegen werden nach Vollendung des 65. Lebensjahres oder bei dauerhafter Erwerbsminderung im Rahmen des Sozialgesetzbuch XII gewährt. Auch hier werden als Einkommen alle Einnahmen in Geld oder Geldeswert berücksichtigt.  Bei der Hilfe für Opfer von Menschenhandel wird für ausländische Frauen, denen nur eine Duldung erteilt wurde, Grundleistung nach dem Asylbewerberleistungsgesetz (AsylbLG) bewilligt. Bei EU Bürgerinnen kommen Leistungen nach dem Sozialgesetzbuch II (ALG II) in Betracht, wenn eine Arbeitserlaubnis vorliegt - ansonsten bestehen Ansprüche nach den Vorschriften des Sozialgesetzbuches XII.","§§ 7 ff., 16, 19 ff., Sozialgesetzbuch II (SGB II)§§ 11, 27 ff., 41 ff. Sozialgesetzbuch XII (SGB XII)§§ 1, 1a, 2, 3, 4, 6 Asylbewerberleistungsgesetz (AsylbLG) §§ 19, 27, 31, 50 Sozialgesetzbuch VIII (SGB VIII)"
Förderung für Maßnahmen zur Aktivierung und beruflichen Eingliederung vom Jobcenter bekommen,"Wenn Sie Leistungen der Grundsicherung beziehen, können Sie durch Maßnahmen unterstützt werden, die Ihnen den beruflichen (Wieder-)Einstieg erleichtern.",B100019.LB.102730340,000000000000,Sie erhalten Leistungen der Grundsicherung. Die Notwendigkeit der Unterstützungsleistung wurde im Gespräch mit Ihrer Integrationsfachkraft festgestellt. Die Teilnahme wurde vor Maßnahmebeginn durch das Jobcenter genehmigt.,§ 16 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16.html || § 45 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__45.html
Bildungspaket - Kostenerstattung für Schulbedarf für Schüler (Bezieher von Bürgergeld unter 25),"Bezieher von Bürgergeld und Sozialgeld (SGB II) können diese Leistung im Rahmen des Bildungspakets erhalten. Für Lernmaterialien wird Schulkindern ein Zuschuss von insgesamt 174 Euro pro Jahr gezahlt, zu Beginn des Schuljahres 116 Euro (i.d.R. zum 1. August) und 58 Euro zu Beginn des zweiten Schulhalbjahres (i.d.R. zum 1. Februar).
Zum persönlichen Schulbedarf gehören neben der Schultasche und dem Sportzeug auch Schreib-, Rechen- und Zeichenmaterialien, wie zum Beispiel Füller, Malstifte, Zirkel, Geodreieck und Radiergummi.
Ausgaben für Verbrauchsmaterialien, die regelmäßig nachgekauft werden müssen, zum Beispiel Hefte, Bleistifte und Tinte, sind aus dem Bürgergeld bzw. Sozialgeld zu bestreiten.",S100002.LB.S1000020010000006195,020000000000,"Kinder unter 25 Jahren (oder deren Eltern), die Leistungen nach dem SGB II (Bürgergeld / Sozialgeld) erhalten
Besuch einer allgemein- oder berufsbildenden Schule, auch Vorschule
kein Erhalt einer Ausbilungsvergütung",nicht angegeben
