Name,ID-LB,ARS,Eligibility Requirements
Erstaufnahmeeinrichtungen und Notunterkünfte,L100002.LB.45489006a3ef7c4841d820ff61c1558c,['050000000000'],nicht angegeben
Hilfe zum Lebensunterhalt (Sozialhilfe) beantragen,L100012.LB.8936820,['010000000000'],"Sie sind hilfebedürftig und:
	
befristet voll erwerbsgemindert oder
beziehen eine Altersrente, haben die Altersgrenze für die Regelaltersrente aber noch nicht erreicht.



Hilfebedürftig sind Sie, wenn Sie Ihren Lebensunterhalt nicht aus eigenen Mitteln und Kräften vollständig decken können.
Zeitlich befristet voll erwerbsgemindert sind Sie, wenn Sie auf absehbare Zeit (mehr als 6 Monate) nicht in der Lage sind, unter den üblichen Bedingungen des allgemeinen Arbeitsmarktes regelmäßig mindestens 3 Stunden täglich zu arbeiten.

Sie erhalten keine:
	
Grundsicherung für Arbeitsuchende,
Grundsicherung im Alter und bei Erwerbsminderung oder
Grundleistungen für Asylsuchende."
Frauenhäuser,L100040.LB.8664739,['030000000000'],nicht angegeben
Grundsicherung im Alter und bei Erwerbsminderung (Sozialhilfe),L100001.LB.8967187,['060000000000'],"Ein Anspruch auf Leistungen zur Grundsicherung besteht, wenn die oder der Betroffene seinen gewöhnlichen Aufenthalt in der Bundesrepublik Deutschland hat und


		die Altersgrenze erreicht hat (je nach Einzelfall 65 Jahre und älter) oder

		nach Vollendung des 18. Lebensjahres aus gesundheitlichen Gründen auf absehbare Zeit nicht in der Lage ist, wenigstens 3 Stunden täglich einer Erwerbstätigkeit nachzugehen."
Schwerbehinderte Menschen: Unentgeltliche ÖPNV-Nutzung,L100001.LB.8961360,['060000000000'],nicht angegeben
Sozialhilfe; Beantragung eines Schiedsverfahrens,L100042.LB.95868,['090000000000'],"Voraussetzung für die Anrufung der Schiedsstelle ist, dass eine Partei schriftlich zu Verhandlungen über den Abschluss einer Vereinbarung gemäß § 76 SGB XII aufgefordert worden ist und es innerhalb von drei Monaten nicht zu einer schriftlichen Vereinbarung gekommen ist."
Entschädigung nach Infektionsschutzgesetz bei eigener Kinderbetreuung - Selbstständige,L100108.LB.L100108_329556,['110000000000'],"betreuungsbedürftige PersonEin Kind, das das zwölfte Lebensjahr noch nicht vollendet hat oder behindert und auf Hilfe angewiesen ist, wird betreut.vorübergehende Schließung von Kinderbetreuungseinrichtungen, Schulen oder Einrichtungen für Menschen mit Behinderungen (ab 30.03.2020)Die vorübergehende Schließung erfolgt von der zuständigen Behörde zur Verhinderung der Verbreitung von Infektionen oder übertragbaren Krankheiten auf Grund des Infektionsschutzgesetzes. Soweit die Schließung durch § 28b Absatz 3 IfSG (in der Fassung vom 28.05.2021) unmittelbar angeordnet ist, bedarf es keiner Anordnung durch eine zuständige Behörde.Betretungsverbot der Kinderbetreuungseinrichtung, Schule oder Einrichtung für Menschen mit Behinderungen (ab 30.03.2020)Das Betretungsverbot erfolgt bezogen auf die jeweilige genannte Einrichtung von der zuständigen Behörde zur Verhinderung der Verbreitung von Infektionen oder übertragbaren Krankheiten aufgrund des Infektionsschutzgesetzes. Soweit das Betretungsverbot durch § 28b Absatz 3 IfSG (in der Fassung vom 28.05.2021) unmittelbar angeordnet ist, bedarf es keiner Anordnung durch eine zuständige Behörde.Quarantäne des Kindes (ab 30.03.2020)Falls kein generelles Betretungsverbot der Kinderbetreuungseinrichtung, Schule oder Einrichtung für Menschen mit Behinderungen besteht, gegenüber dem Kind aber eine Quarantäne angeordnet ist und dieses aus dem Grund der Quarantäne eine der vorgenannten Einrichtungen nicht betreten kann, gilt dies als Betretungsverbot.Anordnung oder Verlängerung von Schul- oder Betriebsferien (ab 16.12.2020)Aus Gründen des Infektionsschutzes werden von der zuständigen Behörde Schul- oder Betriebsferien angeordnet oder verlängert.Aufhebung der Präsenzpflicht (ab 16.12.2020)Aus Gründen des Infektionsschutzes wird von der zuständigen Behörde die Präsenzpflicht in einer Schule aufgehoben.Einschränkung des Kinderbetreuungsangebots (ab 31.03.2021)Aus Gründen des Infektionsschutzes wird von der zuständigen Behörde der Zugang zum Kinderbetreuungsangebot eingeschränkt.behördliche Empfehlung (ab 31.03.2021)Aus Gründen des Infektionsschutzes wird von einer Behörde empfohlen, vom Besuch einer Einrichtung zur Betreuung von Kindern, einer Schule oder einer Einrichtung für Menschen mit Behinderungen abzusehen.Betreuung durch erwerbstätige PersonDie erwerbstätige Person muss die betreuungsbedürftige Person im Zeitraum einer Maßnahme nach § 56 Absatz 1a Satz 1 Nummer 1 IfSG selbst beaufsichtigen, betreuen oder pflegen, weil keine andere Betreuungsmöglichkeit sichergestellt werden konnte.keine zumutbare BetreuungsmöglichkeitDie erwerbstätige Person hat darzulegen, dass keine andere zumutbare Betreuungsmöglichkeit sichergestellt werden konnte. Als zumutbare Betreuungsmöglichkeiten gelten:
angebotene Notbetreuungenzum Haushalt der erwerbstätigen Person gehörende Personen (z. B. Ehepartnerin, Ehepartner, Lebenspartnerin, Lebenspartner, Geschwisterkinder ab dem 16. Lebensjahr, Großeltern (soweit dieser nicht einer Risikogruppe zuzurechnen sind) oder andere Verwandte)zumutbare Nutzung von HomeofficeVerdienstausfallAls monatlicher Verdienstausfall gilt ein Zwölftel des nach den allgemeinen Gewinnermittlungsvorschriften des Einkommensteuerrechts ermittelten Gewinns aus der entschädigungspflichtigen Tätigkeit. Der Zeitraum des durch die notwendige Betreuung eines Kindes verursachten Verdienstausfalls umfasst nicht immer den gesamten Zeitraum der jeweiligen infektionsschutzrechtlichen Maßnahme des § 56 Absatz 1a Satz 1 Nummer 1 IfSG. So können z. B. Zeiten, in denen die betreuende Person andere Entgeltansprüche hat, den maßnahmebedingten Verdienstausfallzeitraum reduzieren:
KrankheitszeitenMutterschutzzeitenZeiten der möglichen Arbeitsleistung im HomeofficeZeiten, in denen die selbständige Tätigkeit unabhängig von einer infektionsschutzrechtlichen Maßnahme des § 56 Absatz 1a Satz 1 Nummer 1 IfSG ruhte oder nicht ausgeübt wurde"
Bürgergeld; Beantragung eines Darlehens in bestimmten akuten Notsituationen,L100042.LB.131130,['090000000000'],"Damit Sie das Darlehen vom Jobcenter bekommen können, müssen Sie nachweisen, dass:
Sie einen akuten, einmaligen Bedarf haben, der seiner Art nach zu den alltäglichen Bedürfnissen gehört (Regelbedarf),Sie diesen Bedarf nicht durch die dafür vorgesehene Leistung (Bürgergeld) ausgleichen können und Sie kein Vermögen haben,Sie keine andere Möglichkeit haben, den Bedarf zu decken (zum Beispiel über Gebrauchtwarenlager oder Kleiderkammer) und,der Bedarf unabweisbar ist. Dies trifft zu,
	wenn Sie ihn nicht aufschieben können undSie den Bedarf nicht mit den nächsten Leistungen zur Deckung des Regelbedarfs ausgleichen können."
Bildungspaket - Kostenerstattung für Schulbedarf für Schüler (Wohngeld/Kinderzuschlag Bezieher),S100002.LB.S1000020010000006168,['020000000000'],"Schüler unter 25 Jahren, die oder deren Eltern Bezieher von Wohngeld oder Kinderzuschlag nach dem Bundeskindergeldgesetz sind
Besuch einer allgemein- oder berufsbildenden Schule, auch vorschule
kein Erhalt einer Ausbildungsvergütung"
Pass für Geringverdiener beantragen,L100040.LB.509483555,['030000000000'],"Antragsberechtigt sind Sie in der Regel bei Bezug von

Hilfe zum Lebensunterhalt oder Grundsicherung nach Sozialgesetzbuch XII
Bürgergeld oder Sozialgeld nach Sozialgesetzbuch II
Leistungen nach dem Asylbewerberleistungsgesetz
Leistungen nach dem Wohngeldgesetz

weitere Voraussetzung:

Sie haben Ihren Hauptwohnsitz in der Stadt oder Gemeinde, die den Pass für Geringverdiener ausstellt.
Welche genauen Einkommensgrenzen gelten und welche weiteren Voraussetzungen Sie erfüllen müssen, erfahren Sie bei der zuständigen Stelle."
Darlehen in bestimmten akuten Notsituationen beantragen,B100019.LB.102716301,['000000000000'],"Damit Sie das Darlehen vom Jobcenter bekommen können, müssen Sie nachweisen, dass:  Sie einen akuten, einmaligen Bedarf haben, der seiner Art nach zu den alltäglichen Bedürfnissen gehört (Regelbedarf), Sie diesen Bedarf nicht durch die dafür vorgesehene Leistung (Bürgergeld) ausgleichen können und Sie kein Vermögen haben, Sie keine andere Möglichkeit haben, den Bedarf zu decken (zum Beispiel über Gebrauchtwarenlager oder Kleiderkammer) und, der Bedarf unabweisbar ist. Dies trifft zu,  wenn Sie ihn nicht aufschieben können und Sie den Bedarf nicht mit den nächsten Leistungen zur Deckung des Regelbedarfs ausgleichen können."
"Leistungen für Bildung und Teilhabe bei Kindern, Jugendlichen und jungen Erwachsenen Bewilligung",L100002.LB.e5b6424b4cbbd7e7c387254ac0a6ae62,['050000000000'],nicht angegeben
Erstaufnahmeeinrichtungen und Notunterkünfte,L100041.LB.108284218,['120000000000'],nicht angegeben
Entschädigung nach dem Infektionsschutzgesetz für nicht gedeckte Betriebskosten beantragen,L100040.LB.492848307,['030000000000'],"Bei Quarantäne oder Tätigkeitsverbot haben Sie Anspruch auf Entschädigung der weiterlaufenden nicht gedeckten Betriebsausgaben, wenn

Sie selbstständig sind,
Ihr Betrieb oder Ihre Praxis während des Tätigkeitsverbots oder der Quarantäne ruht und 
Sie Anspruch auf Entschädigung Ihres Verdienstausfalls haben."
Witwen- und Witwerrente für Hinterbliebene in der gesetzlichen Unfallversicherung erhalten,B100019.LB.582441,['000000000000'],"Sie haben unter folgenden Voraussetzungen einen Anspruch auf die Witwen- und Witwerrente für Hinterbliebene:  Tod der (Ehe-)Partnerin oder des (Ehe-)Partners infolge eines Versicherungsfalles:  Arbeitsunfall, Wegeunfall oder Berufskrankheit   Sie haben schon davor in einer rechtsgültigen Ehe oder Lebenspartnerschaft nach dem Lebenspartnerschaftsgesetz gelebt.  Sie haben in der Regel keinen Anspruch, wenn  Sie die Ehe oder Lebenspartnerschaft erst nach dem Versicherungsfall geschlossen haben und der Tod innerhalb des ersten Jahres dieser Ehe oder Lebenspartnerschaft eingetreten ist."
Hilfe in sonstigen Lebenslagen Bewilligung,L100002.LB.7720d2961de3ec49e4d2aa13f38b0c35,['050000000000'],nicht angegeben
Bildungspaket - Kostenerstattung für Ausflüge und Reisen mit Schulen und Kitas (Wohngeld/Kinderzuschlag Bezieher),S100002.LB.S1000020010000006165,['020000000000'],"Anspruch haben Kinder unter 25 Jahren, die oder deren Eltern Bezieher von Wohngeld oder Kinderzuschlag nach dem Bundeskindergeldgesetz sind und 
eine Kindertageseinrichtung oder einen Hort besuchen bzw. bei Tageseltern versorgt werden oder
eine allgemein- oder berufsbildende Schule besuchen und
keine Ausbildungsvergütung erhalten"
Erstaufnahmeeinrichtungen und Notunterkünfte Unterbringung,L100041.LB.108270286,['120000000000'],nicht angegeben
Erstaufnahmeeinrichtungen und Notunterkünfte Unterbringung,L100002.LB.c9215b52432aebf4c9d9f99947dc57fe,['050000000000'],nicht angegeben
Übernahme der Bestattungskosten beantragen (Sozialhilfe),L100022.LB.1343,['080000000000'],"Sie sind zur Tragung der Bestattungskosten verpflichtet.
Die verstorbene Person hat keinen ausreichenden Nachlass hinterlassen.
Sie können die Kosten der Bestattung nicht aus eigenen Mitteln tragen.
Die Kosten sind unter sozialhilferechtlichen Aspekten angemessen.

Berücksichtigt werden nur die Kosten für ein ortsüblich einfaches, aber würdiges Begräbnis oder für eine solche Feuerbestattung. Beispielsweise gehören dazu die Kosten für den Sarg oder eine Urne, ein Leichenhaus und Grabgebühren sowie Kosten für das Anlegen des Grabes.
Nicht berücksichtigt werden unter anderem Kosten für die laufende Grabpflege und für Trauerkleidung."
Verdienstausfallentschädigung bei Mehrkosten beantragen,L100040.LB.492915246,['030000000000'],"Es bestand eine Quarantäne nach § 30 IfSG oder ein Tätigkeitsverbot nach § 31 IfSG.
Es gab keine Möglichkeit, den Verdienstausfall durch eine andere zumutbare Tätigkeit auszugleichen.
Die Existenz der Betroffenen ist gefährdet und es sind Mehraufwendungen entstanden.
Der Antrag auf Entschädigung muss innerhalb von 2 Jahren nach Beginn des Tätigkeitsverbots oder Ende der Quarantäne gestellt werden.
Es bestand keine Erkrankung bzw. Arbeitsunfähigkeit."
Bildungs- und Teilhabepaket (BuT)/ SGB XII (Grundsicherung/Hilfe zum Lebensunterhalt),L100002.LB.28151f0d4b69487ebaa76a9c250e70f6,['050000000000'],"Grundvoraussetzungen:    Für Kinder, Jugendliche und junge Erwachsene die Leistungen nach dem SGB II, dem SGB XII oder dem AsylbLG beziehen, besteht ein Anspruch auf Bildungsleistungen nach dem Bildungs und Teilhabepaket. Hierfür müssen die Kinder, Jugendliche und junge Erwachsene   eine allgemein oder berufsbildende Schule, eine Tageseinrichtung oder Kindertagespflege besuchen und   noch nicht das 25. Lebensjahr vollendet haben.    Ausnahme: Für Personen die Leistungen nach dem SGB XII und dem AsylbLG beziehen, ist eine Berücksichtigung ihrer Bedarfe an Bildungsleistungen auch über die Vollendung des 25. Lebensjahres hinaus möglich. Für diese Leistungsberechtigten gilt keine Altersgrenze.     Für Kinder, Jugendliche und junge Erwachsene die Leistungen   nach dem SGB II, dem Dritten Kapitel des SGB XII oder dem AsylbLG beziehen, besteht ein   Anspruch auf Teilhabeleistungen am sozialen und kulturellen Leben   nach dem Bildungs und Teilhabepaket, wenn sie noch nicht 19 Jahre alt sind  .  Für Jugendliche und junge Erwachsene, die Leistungen nach dem SGB II oder dem AsylbLG beziehen, besteht ein Anspruch auf Bildungs und Teilhabeleistungen nach dem Bildungs- und Teilhabepaket, wenn im Rahmen der beruflichen Ausbildung keine ausreichende Ausbildungsvergütung zur Verfügung steht.    Achtung: Dies gilt nicht für Personen, die Leistungen der Sozialhilfe nach dem SGB XII erhalten. Ausgenommen sind Personen die Grundsicherung im Alter und bei Erwerbsminderung oder Hilfe zum Lebensunterhalt beziehen.   Ausflüge sowie ein- und mehrtägige Fahrten von Schulen und KiTas:  Mehrtägige Klassenfahrten müssen im Rahmen der schulrechtlichen Bestimmungen liegen.  Persönlicher Schulbedarf:  Die Auszahlung erfolgt automatisiert im Rahmen dieser Leistungen und Sie müssen hierfür keinen separaten Antrag stellen.  Wenn Sie Wohngeld oder Kinderzuschlag beziehen, muss die Schulbedarfspauschale erstmalig beantragt werden.  Bei Kindern unter 7 Jahren oder über 15 Jahren ist eine Schulbescheinigung erforderlich.  Schülerbeförderung:  Die tatsächlichen Aufwendungen werden nicht von Dritten (z. B. durch den Schulträger) übernommen. Wird nur ein Teil der Fahrtkosten durch Dritte übernommen, kann der Eigenteil erstattet werden. Die Distanz zwischen dem Wohnort und der Schule/Einrichtung ist höher als die kommunal oder auf Landesebene als maßgeblich geregelte Mindestdistanz. Wenn landesrechtliche Vorgaben (nächstgelegene Schule des gewählten Bildungsganges) für die Mindestdistanz teilweise keine Rolle spielen (geregelt in bspw. § 28 Absatz 4 Satz 2 SGB II), kann als „nächstgelegene Schule des gewählten Bildungsgangs"" auch eine Schule mit besonderem Profil gelten (zum Beispiel eine Schule mit sportlichem oder sprachlichem Profil oder eine Waldorfschule).  Lernförderung:   Sie brauchen eine Beurteilung der Schule, ob eine Lernförderung zusätzlich erforderlich und geeignet ist, um die nach den schulrechtlichen Bestimmungen festgelegten wesentlichen Lernziele zu erreichen. Wenn es schulische Angebote gibt, sind diese vorrangig wahrzunehmen. Ob die Versetzung gefährdet ist, ist egal.  Die Lernförderung wird durch einen geeigneten Träger oder eine geeignete private Person angeboten. Für die Lernförderung muss ein gesonderter Antrag gestellt werden. Seit dem 1. Juli 2021 sind die individuellen Hilfen zur Lernförderung während der Pandemiezeit und im unmittelbaren Anschluss daran als Teil des am 5. Mai 2021 beschlossenen Aktionsprogramm ""Aktionsprogramm Aufholen nach Corona"" für Kinder und Jugendliche leichter zu erhalten. Es entfällt der gesonderte Antrag auf Übernahme der Aufwendungen für die Lernförderung bis zum 31. Dezember 2023.  Mittagsverpflegung:  Besuch einer Schule, einer Kita oder einer Kindertagespflegeeinrichtung oder eines Hortes.  Die Mittagsverpflegung wird in schulischer Verantwortung angeboten oder ist durch einen Kooperationsvertrag zwischen der Schule und der Tageseinrichtung vereinbart. Das Essen wird gemeinschaftlich ausgegeben und eingenommen."
Bildungspaket - Kostenerstattung für Ausflüge mit Schulen und Kitas (Bezieher von Bürgergeld),S100002.LB.S1000020010000011737,['020000000000'],"Sie können die Leistungen erhalten für: 
 

Kinder, die eine Kita besuchen oder von einer Tagespflegeperson betreut werden,
Schülerinnen und Schüler, die eine allgemein- oder berufsbildende Schule oder eine Vorschulklasse besuchen,

wenn Sie Bürgergeld oder Sozialgeld (SGB II) erhalten."
Hilfe zum Lebensunterhalt beantragen,L100108.LB.L100108_121829,['110000000000'],"Sie haben keinen Anspruch auf vorrangige LeistungenZu diesen Ansprüchen gehören zum Beispiel:
•	Leistungen der Grundsicherung im Alter und bei Erwerbsminderung (4. Kapitel Sozialgesetzbuch Zwölftes Buch (SGB XII)
•	Leistungen der Grundsicherung (Sozialgeld) nach dem Sozialgesetzbuch Zweites Buch (SGB II)
•	Leistungen nach dem Asylbewerberleistungsgesetz (AsylbLG)Altersgrenze und ErwerbsminderungBezug einer vorgezogenen Altersrenteoder
das Rentenalter (Das Rentenalter beginnt zwischen 65 und 67 Jahren, je nach Geburtsjahrgang) wurde noch nicht erreicht undbefristete volle Erwerbsminderung (Feststellung durch Rententräger) liegt vorNiedriges Einkommen, niedriges VermögenEinkommen und Vermögen reichen nicht aus, um den Lebensunterhalt zu bestreiten."
Entschädigung nach dem Infektionsschutzgesetz für nicht gedeckte Betriebskosten beantragen,S100003.LB.S1000030001722526,['040110000000'],"Bei Quarantäne oder Tätigkeitsverbot haben Sie Anspruch auf Entschädigung der weiterlaufenden nicht gedeckten Betriebsausgaben, wenn

Sie selbstständig sind
Ihr Betrieb oder Ihre Praxis während des Tätigkeitsverbots oder der Quarantäne ruht
Sie Anspruch auf Entschädigung Ihres Verdienstausfalls haben und
diese Maßnahme bei Ihnen zu einer Existenzgefährdung geführt hat."
